change_control_id,material_id,supplier_id,change_number,change_type,risk_level,status,opened_date
221,174,49,CC-000221,Specification,Medium,Implemented,2025-05-04
222,122,4,CC-000222,Process,High,Implemented,2024-03-28
223,81,5,CC-000223,Process,Low,Implemented,2024-06-25
224,257,68,CC-000224,Process,Medium,Implemented,2024-03-22
225,132,111,CC-000225,Supplier Site,Low,Approved,2025-03-30
226,212,103,CC-000226,Specification,Low,Approved,2025-03-30
227,288,7,CC-000227,Method,Low,Implemented,2024-10-04
228,112,59,CC-000228,Method,Low,Implemented,2026-02-03
229,244,80,CC-000229,Storage,High,Proposed,2026-04-12
230,133,119,CC-000230,Method,Low,Implemented,2024-08-12
231,233,85,CC-000231,Specification,Low,Implemented,2025-01-17
232,53,76,CC-000232,Packaging,Medium,Rejected,2025-06-21
233,131,47,CC-000233,Packaging,Low,Implemented,2026-03-21
234,113,69,CC-000234,Packaging,Low,Implemented,2024-09-05
235,86,73,CC-000235,Supplier Site,Low,Implemented,2024-08-19
236,65,59,CC-000236,Storage,Low,Implemented,2024-06-29
237,26,119,CC-000237,Specification,Low,Rejected,2024-04-17
238,27,11,CC-000238,Method,Medium,Implemented,2024-11-15
239,153,60,CC-000239,Specification,High,Implemented,2024-10-09
240,165,64,CC-000240,Method,Low,Implemented,2025-06-30
241,162,66,CC-000241,Storage,High,Implemented,2024-10-26
242,180,101,CC-000242,Supplier Site,Medium,Approved,2025-11-22
243,279,67,CC-000243,Packaging,Low,Approved,2024-02-20
244,276,78,CC-000244,Packaging,Low,Proposed,2025-11-23
245,244,87,CC-000245,Specification,High,Implemented,2025-01-04
246,73,65,CC-000246,Process,Low,Implemented,2025-12-14
247,275,86,CC-000247,Method,Low,Approved,2025-10-13
248,114,16,CC-000248,Process,High,Implemented,2025-12-10
249,191,88,CC-000249,Storage,High,Implemented,2024-03-24
250,205,51,CC-000250,Supplier Site,Medium,Implemented,2024-05-29
251,90,69,CC-000251,Process,Medium,Implemented,2024-10-27
252,287,32,CC-000252,Packaging,Low,Approved,2024-11-22
253,272,2,CC-000253,Method,Medium,Proposed,2024-08-17
254,151,103,CC-000254,Specification,Low,Implemented,2024-10-12
255,51,78,CC-000255,Packaging,Low,Approved,2024-09-14
256,162,100,CC-000256,Packaging,High,Implemented,2024-10-22
257,85,70,CC-000257,Packaging,Low,Implemented,2026-03-05
258,17,34,CC-000258,Method,Medium,Approved,2025-10-31
259,192,19,CC-000259,Storage,High,Implemented,2024-07-29
260,238,61,CC-000260,Specification,Low,Proposed,2024-05-17
261,97,84,CC-000261,Packaging,High,Implemented,2025-12-29
262,35,66,CC-000262,Supplier Site,High,Approved,2024-10-13
263,143,120,CC-000263,Packaging,Low,Implemented,2025-09-09
264,66,109,CC-000264,Process,Medium,Approved,2024-12-06
265,277,7,CC-000265,Method,Medium,Implemented,2024-11-18
266,236,43,CC-000266,Process,Low,Approved,2024-02-13
267,150,6,CC-000267,Process,Medium,Proposed,2026-02-02
268,40,41,CC-000268,Packaging,High,Implemented,2025-11-12
269,10,69,CC-000269,Process,Medium,Implemented,2025-05-25
270,148,26,CC-000270,Specification,Low,Implemented,2025-06-07
271,262,119,CC-000271,Specification,High,Implemented,2025-07-06
272,19,58,CC-000272,Method,Low,Implemented,2025-07-10
273,185,55,CC-000273,Method,Low,Implemented,2025-10-06
274,198,109,CC-000274,Storage,Low,Implemented,2025-05-06
275,274,2,CC-000275,Storage,Medium,Approved,2026-04-13
276,81,10,CC-000276,Specification,Medium,Approved,2025-01-23
277,1,118,CC-000277,Process,Medium,Implemented,2025-05-02
278,201,21,CC-000278,Packaging,Medium,Implemented,2025-07-27
279,118,84,CC-000279,Supplier Site,Medium,Proposed,2024-03-18
280,247,48,CC-000280,Storage,Low,Rejected,2025-01-22
281,165,117,CC-000281,Supplier Site,Low,Implemented,2024-08-12
282,209,53,CC-000282,Method,Low,Approved,2024-08-10
283,98,55,CC-000283,Packaging,Medium,Proposed,2026-02-27
284,40,65,CC-000284,Packaging,Low,Implemented,2024-09-16
285,168,19,CC-000285,Supplier Site,Low,Approved,2025-12-04
286,271,39,CC-000286,Supplier Site,Medium,Implemented,2024-11-18
287,283,115,CC-000287,Storage,Low,Approved,2025-12-23
288,20,30,CC-000288,Packaging,Medium,Proposed,2024-12-21
289,30,112,CC-000289,Supplier Site,Low,Approved,2025-11-24
290,264,22,CC-000290,Storage,High,Rejected,2024-12-15
291,146,88,CC-000291,Specification,Low,Implemented,2024-07-13
292,221,62,CC-000292,Supplier Site,Low,Proposed,2024-03-15
293,59,117,CC-000293,Specification,Low,Rejected,2024-06-21
294,270,59,CC-000294,Process,Medium,Proposed,2025-03-27
295,296,13,CC-000295,Method,Low,Approved,2025-01-14
296,248,38,CC-000296,Specification,High,Rejected,2025-12-22
297,228,89,CC-000297,Specification,Low,Implemented,2025-03-24
298,257,11,CC-000298,Supplier Site,Medium,Implemented,2026-01-23
299,224,63,CC-000299,Specification,Low,Rejected,2025-02-28
300,93,113,CC-000300,Method,Medium,Implemented,2025-06-27
301,242,57,CC-000301,Specification,Low,Implemented,2024-05-15
302,243,60,CC-000302,Packaging,Low,Rejected,2025-04-20
303,266,71,CC-000303,Storage,Medium,Implemented,2025-08-21
304,111,25,CC-000304,Supplier Site,Medium,Implemented,2026-01-04
305,208,43,CC-000305,Packaging,Medium,Approved,2024-02-26
306,280,31,CC-000306,Method,Medium,Proposed,2024-01-21
307,69,30,CC-000307,Supplier Site,Medium,Approved,2025-06-11
308,170,31,CC-000308,Specification,Medium,Proposed,2024-03-01
309,127,31,CC-000309,Specification,Medium,Implemented,2024-03-26
310,2,84,CC-000310,Specification,Low,Approved,2025-12-05
311,79,52,CC-000311,Storage,High,Implemented,2026-03-18
312,168,28,CC-000312,Specification,Low,Approved,2025-11-03
313,257,35,CC-000313,Process,High,Implemented,2024-05-22
314,193,38,CC-000314,Packaging,Medium,Implemented,2024-11-23
315,140,42,CC-000315,Storage,Low,Approved,2025-10-16
316,273,90,CC-000316,Storage,High,Implemented,2025-07-23
317,124,29,CC-000317,Method,Medium,Implemented,2025-07-06
318,90,65,CC-000318,Packaging,Low,Implemented,2026-01-24
319,105,83,CC-000319,Process,Medium,Implemented,2024-12-20
320,66,95,CC-000320,Method,Medium,Approved,2024-09-23
321,248,13,CC-000321,Method,Low,Implemented,2024-10-03
322,254,42,CC-000322,Supplier Site,Medium,Implemented,2026-01-04
323,50,15,CC-000323,Process,Low,Approved,2025-02-02
324,77,81,CC-000324,Process,Low,Implemented,2024-06-14
325,225,14,CC-000325,Packaging,Medium,Implemented,2025-07-04
326,240,106,CC-000326,Process,Low,Implemented,2025-09-17
327,293,31,CC-000327,Specification,High,Implemented,2024-10-07
328,46,19,CC-000328,Storage,Low,Implemented,2025-01-30
329,32,33,CC-000329,Storage,Low,Implemented,2025-04-14
330,81,29,CC-000330,Process,Medium,Implemented,2025-11-12
331,1,111,CC-000331,Method,Low,Implemented,2025-11-16
332,72,78,CC-000332,Packaging,Medium,Implemented,2024-08-14
333,88,20,CC-000333,Method,Low,Implemented,2024-04-17
334,76,36,CC-000334,Specification,Low,Proposed,2025-06-10
335,168,50,CC-000335,Supplier Site,Low,Rejected,2025-05-03
336,135,80,CC-000336,Specification,Low,Approved,2025-10-23
337,159,3,CC-000337,Storage,Medium,Proposed,2025-09-20
338,55,96,CC-000338,Packaging,Medium,Approved,2024-11-04
339,30,118,CC-000339,Process,High,Implemented,2026-02-04
340,164,5,CC-000340,Process,Low,Implemented,2025-12-30
341,277,42,CC-000341,Specification,Low,Implemented,2024-03-25
342,201,19,CC-000342,Supplier Site,Medium,Implemented,2024-08-12
343,264,116,CC-000343,Method,Low,Implemented,2025-07-08
344,45,8,CC-000344,Method,Medium,Implemented,2026-02-04
345,64,56,CC-000345,Specification,Low,Proposed,2024-03-28
346,207,15,CC-000346,Supplier Site,Medium,Implemented,2025-07-05
347,251,73,CC-000347,Process,Low,Implemented,2025-10-28
348,240,24,CC-000348,Specification,Medium,Implemented,2025-01-27
349,232,58,CC-000349,Supplier Site,Low,Implemented,2025-10-14
350,43,109,CC-000350,Method,Low,Approved,2024-06-21
351,135,12,CC-000351,Process,Medium,Implemented,2025-09-20
352,285,41,CC-000352,Packaging,Low,Proposed,2025-05-14
353,235,105,CC-000353,Method,High,Implemented,2024-02-20
354,19,25,CC-000354,Packaging,Low,Implemented,2024-08-30
355,115,36,CC-000355,Storage,Medium,Implemented,2024-11-01
356,51,21,CC-000356,Process,High,Approved,2024-06-22
357,267,6,CC-000357,Method,Low,Implemented,2025-08-11
358,234,79,CC-000358,Storage,High,Implemented,2024-05-03
359,20,107,CC-000359,Packaging,Medium,Implemented,2025-10-03
360,46,75,CC-000360,Method,Medium,Implemented,2025-05-22
361,263,2,CC-000361,Process,Low,Approved,2025-11-13
362,27,67,CC-000362,Storage,Low,Implemented,2025-03-28
363,47,18,CC-000363,Storage,Medium,Implemented,2024-03-26
364,43,60,CC-000364,Process,Medium,Proposed,2025-10-16
365,69,70,CC-000365,Method,Medium,Approved,2025-08-11
366,235,98,CC-000366,Process,Medium,Implemented,2024-03-04
367,130,77,CC-000367,Supplier Site,Low,Implemented,2024-03-27
368,112,76,CC-000368,Storage,Low,Implemented,2024-11-23
369,57,56,CC-000369,Packaging,Low,Implemented,2025-11-19
370,53,107,CC-000370,Specification,Low,Proposed,2024-02-15
371,222,84,CC-000371,Packaging,Medium,Implemented,2024-05-14
372,208,71,CC-000372,Packaging,Low,Rejected,2026-01-30
373,10,13,CC-000373,Specification,Low,Rejected,2024-09-24
374,205,101,CC-000374,Storage,Low,Implemented,2026-02-03
375,30,9,CC-000375,Packaging,Medium,Proposed,2024-10-23
376,77,45,CC-000376,Packaging,High,Implemented,2024-04-17
377,90,44,CC-000377,Process,Medium,Implemented,2025-10-10
378,172,117,CC-000378,Packaging,Medium,Implemented,2024-07-15
379,24,5,CC-000379,Method,Medium,Implemented,2025-06-13
380,244,80,CC-000380,Storage,Low,Implemented,2025-01-08
381,38,19,CC-000381,Method,Low,Proposed,2025-10-21
382,162,18,CC-000382,Storage,Low,Approved,2024-05-31
383,201,80,CC-000383,Packaging,Low,Approved,2025-01-30
384,167,24,CC-000384,Supplier Site,Medium,Implemented,2024-03-05
385,34,55,CC-000385,Storage,Medium,Proposed,2024-07-07
386,142,77,CC-000386,Process,Low,Implemented,2025-04-28
387,33,21,CC-000387,Method,Low,Approved,2025-04-06
388,157,43,CC-000388,Packaging,Medium,Implemented,2025-03-11
389,269,11,CC-000389,Packaging,Low,Approved,2026-02-12
390,179,5,CC-000390,Packaging,Low,Implemented,2024-08-17
391,164,42,CC-000391,Specification,Low,Approved,2026-04-24
392,67,87,CC-000392,Supplier Site,Medium,Implemented,2024-07-21
393,252,9,CC-000393,Packaging,Medium,Implemented,2025-07-16
394,73,69,CC-000394,Method,Medium,Rejected,2024-01-31
395,50,37,CC-000395,Storage,Low,Approved,2024-05-17
396,272,53,CC-000396,Method,Low,Implemented,2025-09-03
397,37,39,CC-000397,Storage,Low,Implemented,2025-02-19
398,277,42,CC-000398,Specification,Medium,Implemented,2026-03-18
399,195,35,CC-000399,Supplier Site,Medium,Implemented,2024-06-29
400,5,89,CC-000400,Supplier Site,Low,Approved,2026-03-13
401,209,117,CC-000401,Supplier Site,Medium,Proposed,2024-04-03
402,290,25,CC-000402,Packaging,Low,Implemented,2024-03-31
403,285,43,CC-000403,Specification,High,Implemented,2024-03-13
404,267,63,CC-000404,Storage,Medium,Approved,2026-02-23
405,21,74,CC-000405,Supplier Site,Medium,Implemented,2025-02-01
406,162,44,CC-000406,Process,Medium,Approved,2024-01-10
407,61,20,CC-000407,Process,Low,Approved,2025-09-02
408,173,2,CC-000408,Process,Medium,Implemented,2025-01-04
409,57,102,CC-000409,Supplier Site,Medium,Proposed,2026-03-17
410,98,19,CC-000410,Packaging,Medium,Implemented,2025-02-20
411,211,63,CC-000411,Supplier Site,Low,Approved,2025-07-05
412,43,114,CC-000412,Storage,Medium,Rejected,2025-01-05
413,27,73,CC-000413,Packaging,Medium,Implemented,2024-07-05
414,52,75,CC-000414,Method,Medium,Implemented,2026-02-26
415,18,105,CC-000415,Process,Medium,Implemented,2024-04-25
416,225,98,CC-000416,Supplier Site,Low,Implemented,2024-11-19
417,291,50,CC-000417,Storage,Medium,Approved,2025-04-21
418,255,55,CC-000418,Packaging,Medium,Implemented,2026-01-02
419,48,110,CC-000419,Supplier Site,Low,Implemented,2024-10-08
420,142,20,CC-000420,Packaging,Low,Proposed,2024-07-28
421,54,3,CC-000421,Supplier Site,Low,Approved,2024-12-01
422,190,51,CC-000422,Process,Low,Implemented,2024-02-25
423,128,39,CC-000423,Process,Medium,Approved,2024-12-15
424,59,110,CC-000424,Supplier Site,Low,Approved,2024-01-30
425,6,25,CC-000425,Supplier Site,High,Implemented,2024-10-07
426,141,74,CC-000426,Method,High,Implemented,2026-04-09
427,104,44,CC-000427,Supplier Site,Low,Proposed,2025-03-12
428,47,3,CC-000428,Process,High,Proposed,2025-12-09
429,212,89,CC-000429,Supplier Site,Medium,Approved,2026-02-03
430,55,95,CC-000430,Specification,Medium,Implemented,2024-08-24
431,253,111,CC-000431,Packaging,Low,Implemented,2025-03-19
432,253,32,CC-000432,Supplier Site,Low,Implemented,2024-06-13
433,117,70,CC-000433,Process,Medium,Implemented,2024-07-16
434,219,45,CC-000434,Specification,Low,Proposed,2025-08-29
435,105,19,CC-000435,Method,Medium,Rejected,2025-09-12
436,101,38,CC-000436,Supplier Site,Low,Implemented,2025-01-09
437,201,109,CC-000437,Process,Low,Implemented,2026-01-03
438,251,10,CC-000438,Packaging,Low,Implemented,2025-01-07
439,191,17,CC-000439,Method,High,Implemented,2025-10-18
440,28,68,CC-000440,Packaging,High,Implemented,2024-01-30
441,194,90,CC-000441,Specification,High,Implemented,2026-04-11
442,179,43,CC-000442,Method,Medium,Approved,2025-03-28
443,224,93,CC-000443,Packaging,High,Approved,2025-08-09
444,277,36,CC-000444,Supplier Site,Medium,Approved,2025-06-20
