investigation_id,test_id,investigation_number,opened_date,severity,root_cause,status,eqms_record_id,closed_date
31,69247,INV-0000031,2025-03-16,Minor,Operator,Closed,EQMS-4339070,2025-05-30
32,80684,INV-0000032,2024-08-21,Minor,Analytical Method,In Progress,EQMS-5207380,
33,87387,INV-0000033,2025-05-10,Minor,Specification,Open,EQMS-8811519,
34,98648,INV-0000034,2025-07-16,Minor,Analytical Method,Closed,EQMS-8004199,2025-08-28
35,86250,INV-0000035,2024-06-26,Major,Analytical Method,Closed,EQMS-1056015,2024-09-16
36,8130,INV-0000036,2024-03-29,Major,Unknown,Closed,EQMS-5780891,2024-05-24
37,16879,INV-0000037,2024-06-01,Major,Supplier,Closed,EQMS-6436338,2024-08-06
38,100139,INV-0000038,2024-10-21,Critical,Specification,Closed,EQMS-2960144,2024-12-27
39,32445,INV-0000039,2026-02-13,Major,Supplier,Closed,EQMS-0566981,2026-04-02
40,102856,INV-0000040,2025-06-02,Minor,Unknown,Closed,EQMS-8107174,2025-08-09
41,100399,INV-0000041,2024-01-17,Major,Equipment,In Progress,EQMS-7231639,
42,40834,INV-0000042,2024-06-11,Major,Supplier,Closed,EQMS-7968340,2024-08-02
43,29242,INV-0000043,2024-09-16,Major,Equipment,In Progress,EQMS-8492252,
44,65794,INV-0000044,2024-03-01,Major,Analytical Method,Open,EQMS-4677258,
45,60183,INV-0000045,2024-04-22,Major,Analytical Method,Closed,EQMS-4489509,2024-05-12
46,90248,INV-0000046,2026-01-23,Major,Operator,Open,EQMS-4285264,
47,7264,INV-0000047,2024-12-11,Minor,Equipment,Closed,EQMS-7522360,2025-02-11
48,16026,INV-0000048,2025-06-03,Major,Analytical Method,Closed,EQMS-4906367,2025-08-30
49,56192,INV-0000049,2025-04-11,Critical,Operator,Closed,EQMS-5472457,2025-05-18
50,82456,INV-0000050,2024-08-07,Critical,Equipment,Closed,EQMS-8103883,2024-08-23
51,62336,INV-0000051,2024-12-14,Minor,Specification,Open,EQMS-3603300,
52,78447,INV-0000052,2024-08-31,Critical,Analytical Method,Closed,EQMS-8487583,2024-10-25
53,19597,INV-0000053,2025-07-02,Critical,Operator,Closed,EQMS-4441100,2025-07-11
54,12400,INV-0000054,2024-12-22,Major,Sample Handling,In Progress,EQMS-3186417,
55,71837,INV-0000055,2025-06-02,Minor,Analytical Method,Closed,EQMS-5796728,2025-07-11
56,48108,INV-0000056,2024-08-21,Major,Unknown,Closed,EQMS-2741143,2024-10-02
57,112334,INV-0000057,2025-11-26,Major,Analytical Method,Closed,EQMS-4265276,2025-12-07
58,9044,INV-0000058,2025-11-11,Minor,Operator,Closed,EQMS-1760988,2025-12-23
59,44695,INV-0000059,2024-10-07,Minor,Operator,In Progress,EQMS-8537011,
60,25836,INV-0000060,2024-05-29,Minor,Equipment,Closed,EQMS-4019194,2024-06-04
61,99503,INV-0000061,2026-03-30,Minor,Unknown,Closed,EQMS-8987234,2026-04-30
62,102,INV-0000062,2025-11-09,Major,Equipment,Closed,EQMS-0463207,2025-12-25
63,78500,INV-0000063,2024-10-30,Minor,Analytical Method,Closed,EQMS-1886378,2024-11-28
64,117466,INV-0000064,2025-06-09,Minor,Sample Handling,Closed,EQMS-2634755,2025-08-16
65,36054,INV-0000065,2026-03-25,Minor,Unknown,Closed,EQMS-8454663,2026-04-23
66,44144,INV-0000066,2024-01-31,Minor,Equipment,Closed,EQMS-7886716,2024-04-13
67,2303,INV-0000067,2024-06-13,Minor,Supplier,Closed,EQMS-8443530,2024-08-16
68,110061,INV-0000068,2025-08-06,Major,Unknown,Closed,EQMS-5022131,2025-10-01
69,15404,INV-0000069,2026-01-04,Major,Operator,In Progress,EQMS-7521944,
70,9589,INV-0000070,2025-09-12,Minor,Specification,Closed,EQMS-2727622,2025-10-23
71,107471,INV-0000071,2024-03-12,Major,Operator,Closed,EQMS-4834210,2024-05-23
72,54146,INV-0000072,2026-01-06,Major,Operator,Open,EQMS-5670893,
73,73347,INV-0000073,2024-04-11,Minor,Equipment,Closed,EQMS-8228353,2024-05-25
74,76990,INV-0000074,2025-04-29,Minor,Analytical Method,Closed,EQMS-2269329,2025-05-10
75,58679,INV-0000075,2026-03-03,Minor,Specification,Closed,EQMS-2820810,2026-05-15
76,91460,INV-0000076,2026-02-21,Major,Analytical Method,Open,EQMS-7123479,
77,42115,INV-0000077,2024-04-07,Minor,Analytical Method,Closed,EQMS-1912208,2024-07-03
78,73185,INV-0000078,2024-03-25,Major,Unknown,Closed,EQMS-3065468,2024-06-16
79,83426,INV-0000079,2026-02-10,Critical,Unknown,Closed,EQMS-3372232,2026-03-11
80,49781,INV-0000080,2025-06-30,Minor,Equipment,In Progress,EQMS-4380223,
81,77856,INV-0000081,2024-09-12,Major,Equipment,Closed,EQMS-2710174,2024-10-30
82,109031,INV-0000082,2026-02-19,Minor,Sample Handling,Closed,EQMS-1439988,2026-04-22
83,70192,INV-0000083,2024-05-05,Critical,Analytical Method,Closed,EQMS-6251318,2024-05-28
84,3972,INV-0000084,2024-06-15,Minor,Sample Handling,Closed,EQMS-2001399,2024-07-09
85,76626,INV-0000085,2025-09-23,Major,Unknown,Closed,EQMS-3099284,2025-10-26
86,33581,INV-0000086,2024-05-17,Minor,Unknown,Closed,EQMS-8632531,2024-06-05
87,67728,INV-0000087,2024-09-28,Minor,Analytical Method,In Progress,EQMS-3455293,
88,97947,INV-0000088,2026-03-18,Major,Specification,Closed,EQMS-7991260,2026-04-25
89,16963,INV-0000089,2025-06-17,Major,Operator,Closed,EQMS-0220655,2025-07-09
90,64264,INV-0000090,2025-02-10,Minor,Analytical Method,Closed,EQMS-2555855,2025-04-03
91,30284,INV-0000091,2024-12-30,Minor,Equipment,In Progress,EQMS-6485972,
92,15397,INV-0000092,2026-02-22,Major,Analytical Method,Closed,EQMS-3259312,2026-03-13
93,103602,INV-0000093,2025-08-06,Minor,Equipment,In Progress,EQMS-9413691,
94,61161,INV-0000094,2025-01-20,Minor,Supplier,Closed,EQMS-8915219,2025-02-16
95,33431,INV-0000095,2024-12-19,Minor,Equipment,Closed,EQMS-3918212,2025-02-17
96,119555,INV-0000096,2025-04-24,Minor,Analytical Method,Closed,EQMS-7635154,2025-06-22
97,116226,INV-0000097,2024-06-29,Major,Specification,Closed,EQMS-7377752,2024-07-28
98,7643,INV-0000098,2025-12-29,Minor,Analytical Method,In Progress,EQMS-6496027,
99,84528,INV-0000099,2026-02-01,Minor,Sample Handling,Closed,EQMS-9192271,2026-02-23
100,17366,INV-0000100,2024-07-01,Minor,Operator,Closed,EQMS-2074897,2024-09-22
101,9708,INV-0000101,2025-11-04,Major,Supplier,Closed,EQMS-1071573,2025-12-29
102,1499,INV-0000102,2024-09-10,Minor,Specification,In Progress,EQMS-0220806,
103,62635,INV-0000103,2025-10-04,Critical,Sample Handling,Closed,EQMS-0550945,2025-11-02
104,119462,INV-0000104,2024-11-09,Minor,Specification,Open,EQMS-2701890,
105,44425,INV-0000105,2024-06-03,Major,Unknown,Closed,EQMS-4923313,2024-08-22
106,64055,INV-0000106,2025-05-27,Minor,Operator,Closed,EQMS-8794341,2025-06-03
107,107317,INV-0000107,2024-07-30,Major,Operator,Closed,EQMS-7698379,2024-08-13
108,58341,INV-0000108,2024-02-10,Major,Analytical Method,Closed,EQMS-8008146,2024-02-16
109,29508,INV-0000109,2024-08-27,Minor,Operator,Closed,EQMS-5757590,2024-10-02
110,99187,INV-0000110,2026-03-12,Major,Operator,Closed,EQMS-3897072,2026-04-23
111,115602,INV-0000111,2025-08-16,Critical,Unknown,Closed,EQMS-7276964,2025-10-19
112,109021,INV-0000112,2025-01-12,Major,Sample Handling,Closed,EQMS-3930442,2025-03-16
113,15073,INV-0000113,2024-07-28,Minor,Equipment,Closed,EQMS-8668511,2024-10-20
114,20235,INV-0000114,2024-12-16,Minor,Specification,Open,EQMS-9323885,
115,106458,INV-0000115,2024-08-21,Major,Sample Handling,Closed,EQMS-8623249,2024-10-26
116,48171,INV-0000116,2025-11-29,Major,Supplier,Closed,EQMS-9561708,2025-12-20
117,49669,INV-0000117,2024-08-14,Minor,Specification,Open,EQMS-1713279,
118,115404,INV-0000118,2024-03-01,Major,Operator,In Progress,EQMS-6837032,
119,14353,INV-0000119,2024-02-27,Major,Analytical Method,In Progress,EQMS-2150100,
120,78978,INV-0000120,2024-05-07,Minor,Unknown,Closed,EQMS-8246831,2024-05-21
121,115011,INV-0000121,2024-06-27,Major,Operator,Closed,EQMS-2108078,2024-07-23
122,74212,INV-0000122,2025-01-17,Major,Supplier,Closed,EQMS-5220761,2025-03-25
123,100024,INV-0000123,2024-11-26,Minor,Sample Handling,Open,EQMS-7597256,
124,60078,INV-0000124,2024-01-25,Minor,Unknown,Closed,EQMS-1110154,2024-03-09
125,119266,INV-0000125,2025-05-21,Minor,Sample Handling,Closed,EQMS-3890011,2025-08-14
126,69476,INV-0000126,2024-02-17,Minor,Supplier,Closed,EQMS-8872726,2024-03-05
127,76074,INV-0000127,2024-01-04,Minor,Unknown,Closed,EQMS-1308465,2024-01-31
128,83424,INV-0000128,2025-11-01,Major,Supplier,In Progress,EQMS-0379672,
129,79089,INV-0000129,2025-07-27,Major,Analytical Method,Closed,EQMS-5179903,2025-08-03
130,28466,INV-0000130,2025-05-02,Minor,Sample Handling,Closed,EQMS-2029394,2025-05-30
131,64750,INV-0000131,2024-05-10,Major,Operator,Closed,EQMS-8182793,2024-08-05
132,46521,INV-0000132,2025-05-11,Major,Operator,In Progress,EQMS-7934240,
133,4816,INV-0000133,2026-02-04,Major,Operator,Closed,EQMS-9263945,2026-03-17
134,78789,INV-0000134,2025-11-17,Minor,Equipment,Closed,EQMS-8572039,2025-11-30
135,7247,INV-0000135,2024-06-20,Minor,Equipment,Closed,EQMS-9885306,2024-07-02
136,72240,INV-0000136,2024-09-19,Minor,Sample Handling,Closed,EQMS-4480331,2024-11-29
137,87950,INV-0000137,2025-11-11,Minor,Specification,Closed,EQMS-7494970,2026-01-19
138,18821,INV-0000138,2025-02-15,Minor,Specification,Open,EQMS-2508764,
139,116749,INV-0000139,2025-06-17,Minor,Operator,Closed,EQMS-4611091,2025-08-05
140,94269,INV-0000140,2024-12-19,Major,Operator,Closed,EQMS-9572040,2025-02-18
141,88429,INV-0000141,2026-01-25,Minor,Supplier,Closed,EQMS-3233728,2026-03-26
142,97881,INV-0000142,2025-01-14,Minor,Analytical Method,Closed,EQMS-7954194,2025-02-04
143,37435,INV-0000143,2024-08-02,Major,Unknown,Closed,EQMS-0927349,2024-10-01
144,118635,INV-0000144,2024-06-16,Minor,Equipment,Closed,EQMS-1324306,2024-07-11
145,96594,INV-0000145,2024-05-28,Minor,Analytical Method,Closed,EQMS-7884758,2024-08-04
146,81493,INV-0000146,2025-06-22,Major,Unknown,Closed,EQMS-9825277,2025-09-02
147,94277,INV-0000147,2024-11-29,Major,Operator,Closed,EQMS-5644966,2025-02-14
148,70927,INV-0000148,2026-03-18,Minor,Specification,Closed,EQMS-0742056,2026-06-05
149,93039,INV-0000149,2024-12-17,Minor,Supplier,Closed,EQMS-5673626,2025-03-07
150,97673,INV-0000150,2025-02-08,Minor,Operator,Open,EQMS-6713260,
151,35036,INV-0000151,2026-01-26,Critical,Unknown,Closed,EQMS-5364520,2026-02-18
152,16586,INV-0000152,2025-08-29,Minor,Operator,Open,EQMS-4295554,
153,10003,INV-0000153,2025-08-01,Minor,Analytical Method,Closed,EQMS-3532885,2025-08-07
154,75295,INV-0000154,2026-02-12,Minor,Sample Handling,In Progress,EQMS-1329879,
155,93145,INV-0000155,2025-02-10,Minor,Operator,Closed,EQMS-9531814,2025-03-15
156,72499,INV-0000156,2024-08-29,Minor,Sample Handling,In Progress,EQMS-5854027,
157,88434,INV-0000157,2025-10-29,Major,Analytical Method,In Progress,EQMS-5188618,
158,48778,INV-0000158,2026-01-04,Minor,Sample Handling,Closed,EQMS-2434738,2026-03-24
159,3202,INV-0000159,2025-03-24,Critical,Operator,Closed,EQMS-7281095,2025-06-13
160,57184,INV-0000160,2024-02-22,Minor,Sample Handling,Open,EQMS-0808695,
161,103617,INV-0000161,2024-03-29,Major,Unknown,Closed,EQMS-0990954,2024-05-12
162,87863,INV-0000162,2024-11-08,Minor,Specification,Open,EQMS-6945799,
163,52030,INV-0000163,2024-10-18,Critical,Equipment,In Progress,EQMS-3691604,
164,19691,INV-0000164,2024-06-25,Minor,Sample Handling,Closed,EQMS-0582950,2024-07-07
165,23971,INV-0000165,2025-09-05,Minor,Analytical Method,Open,EQMS-4516902,
166,86007,INV-0000166,2024-09-01,Minor,Unknown,In Progress,EQMS-4486574,
167,71489,INV-0000167,2025-03-08,Major,Supplier,Closed,EQMS-4242882,2025-04-10
168,95383,INV-0000168,2025-10-15,Minor,Supplier,Closed,EQMS-9529971,2025-11-04
169,91014,INV-0000169,2025-09-03,Major,Unknown,Closed,EQMS-8410317,2025-10-15
170,61911,INV-0000170,2024-07-01,Minor,Sample Handling,Open,EQMS-7356622,
171,73248,INV-0000171,2024-07-01,Major,Analytical Method,Closed,EQMS-6308441,2024-09-15
172,43932,INV-0000172,2024-01-14,Minor,Analytical Method,In Progress,EQMS-8687949,
173,82691,INV-0000173,2025-06-05,Major,Specification,Closed,EQMS-7171814,2025-06-20
174,24276,INV-0000174,2024-08-22,Major,Supplier,In Progress,EQMS-9275772,
175,111619,INV-0000175,2024-07-31,Minor,Unknown,Closed,EQMS-6011635,2024-09-21
176,78313,INV-0000176,2024-02-06,Minor,Unknown,Closed,EQMS-6615316,2024-04-23
177,887,INV-0000177,2025-09-22,Minor,Sample Handling,Closed,EQMS-4409611,2025-10-04
178,71319,INV-0000178,2024-07-24,Minor,Equipment,Closed,EQMS-5637993,2024-10-08
179,50278,INV-0000179,2024-09-04,Minor,Specification,Closed,EQMS-2241265,2024-11-10
180,63836,INV-0000180,2024-07-22,Major,Operator,Closed,EQMS-6519136,2024-10-10
181,1105,INV-0000181,2025-06-14,Minor,Equipment,Closed,EQMS-0608129,2025-07-04
182,58346,INV-0000182,2025-09-19,Major,Unknown,Closed,EQMS-8562968,2025-11-22
183,109733,INV-0000183,2025-04-22,Minor,Unknown,Closed,EQMS-8719169,2025-07-07
184,91770,INV-0000184,2024-07-11,Major,Supplier,Closed,EQMS-5594208,2024-10-04
185,8384,INV-0000185,2026-03-14,Major,Sample Handling,Closed,EQMS-8572741,2026-06-03
186,11104,INV-0000186,2024-02-06,Major,Specification,In Progress,EQMS-8392334,
187,7843,INV-0000187,2024-10-26,Critical,Sample Handling,Closed,EQMS-5042660,2024-12-23
188,107217,INV-0000188,2024-05-25,Major,Analytical Method,Closed,EQMS-1385456,2024-08-20
189,51288,INV-0000189,2025-01-09,Major,Sample Handling,Closed,EQMS-0350179,2025-01-23
190,106004,INV-0000190,2025-07-13,Minor,Specification,Closed,EQMS-0278793,2025-07-27
191,48347,INV-0000191,2024-08-24,Major,Sample Handling,In Progress,EQMS-3001313,
192,82139,INV-0000192,2025-04-10,Minor,Unknown,In Progress,EQMS-1591106,
193,82744,INV-0000193,2024-10-22,Major,Operator,Closed,EQMS-2502146,2024-11-16
194,26070,INV-0000194,2025-02-13,Major,Unknown,In Progress,EQMS-5242257,
195,101885,INV-0000195,2025-01-04,Minor,Supplier,Closed,EQMS-0166445,2025-01-25
196,56102,INV-0000196,2024-09-22,Minor,Sample Handling,Closed,EQMS-3481977,2024-11-27
197,52613,INV-0000197,2024-09-10,Major,Analytical Method,Closed,EQMS-9597673,2024-10-11
198,103910,INV-0000198,2024-04-19,Minor,Specification,Closed,EQMS-2154091,2024-05-24
199,53230,INV-0000199,2024-12-27,Minor,Supplier,Open,EQMS-5506361,
200,19872,INV-0000200,2026-03-18,Minor,Specification,Closed,EQMS-1791099,2026-03-31
201,90557,INV-0000201,2025-06-08,Minor,Analytical Method,Open,EQMS-0158550,
202,65557,INV-0000202,2025-06-27,Major,Equipment,Open,EQMS-5426230,
203,104962,INV-0000203,2025-02-27,Minor,Supplier,Closed,EQMS-3440260,2025-03-06
204,104676,INV-0000204,2025-12-06,Minor,Unknown,Closed,EQMS-1292973,2025-12-20
205,106432,INV-0000205,2025-09-26,Critical,Specification,Closed,EQMS-3821448,2025-12-13
206,117913,INV-0000206,2025-05-12,Major,Analytical Method,Closed,EQMS-6334741,2025-06-24
207,105291,INV-0000207,2024-08-15,Minor,Supplier,Closed,EQMS-6354019,2024-10-02
208,58693,INV-0000208,2024-08-11,Minor,Sample Handling,Open,EQMS-9653886,
209,9877,INV-0000209,2026-01-13,Minor,Supplier,Closed,EQMS-5708951,2026-02-08
210,63216,INV-0000210,2024-02-06,Minor,Specification,Closed,EQMS-6436457,2024-03-14
211,77906,INV-0000211,2025-09-11,Major,Operator,Closed,EQMS-0343620,2025-10-01
212,42966,INV-0000212,2026-01-12,Minor,Operator,Closed,EQMS-4830596,2026-02-07
213,12568,INV-0000213,2024-12-05,Major,Supplier,Closed,EQMS-5585981,2025-02-12
214,85754,INV-0000214,2024-03-05,Minor,Operator,Closed,EQMS-1510140,2024-05-16
215,73649,INV-0000215,2024-02-03,Major,Operator,In Progress,EQMS-3406635,
216,40923,INV-0000216,2025-07-22,Major,Specification,Closed,EQMS-0766686,2025-08-31
217,40256,INV-0000217,2025-10-05,Major,Unknown,Closed,EQMS-5139750,2025-10-31
218,102484,INV-0000218,2025-08-22,Minor,Supplier,Open,EQMS-8151134,
219,78655,INV-0000219,2024-09-07,Major,Supplier,In Progress,EQMS-4150611,
220,82184,INV-0000220,2025-07-02,Minor,Equipment,Closed,EQMS-3780346,2025-09-06
221,27432,INV-0000221,2025-12-18,Minor,Operator,Closed,EQMS-3703193,2026-03-03
222,81806,INV-0000222,2025-04-22,Minor,Supplier,In Progress,EQMS-9808164,
223,69245,INV-0000223,2025-12-24,Minor,Operator,Open,EQMS-4591224,
224,81546,INV-0000224,2024-03-08,Major,Analytical Method,Closed,EQMS-1135332,2024-03-29
225,14918,INV-0000225,2025-12-09,Major,Equipment,Closed,EQMS-7624848,2025-12-29
226,59239,INV-0000226,2025-04-26,Critical,Supplier,In Progress,EQMS-0380252,
227,34325,INV-0000227,2025-11-28,Minor,Sample Handling,Closed,EQMS-2137505,2026-02-10
228,102119,INV-0000228,2024-09-04,Minor,Specification,Closed,EQMS-2132104,2024-10-05
229,101307,INV-0000229,2026-03-22,Minor,Operator,Closed,EQMS-5103790,2026-05-08
230,30612,INV-0000230,2025-07-28,Major,Supplier,Closed,EQMS-4028571,2025-10-07
231,90176,INV-0000231,2024-06-19,Minor,Equipment,In Progress,EQMS-6364924,
232,43754,INV-0000232,2024-01-30,Critical,Analytical Method,Closed,EQMS-2685262,2024-04-10
233,72581,INV-0000233,2025-10-22,Major,Equipment,Closed,EQMS-8227376,2025-11-03
234,106812,INV-0000234,2024-05-29,Minor,Sample Handling,Closed,EQMS-4438113,2024-06-05
235,50768,INV-0000235,2024-05-07,Minor,Operator,In Progress,EQMS-5856528,
236,60283,INV-0000236,2024-08-12,Major,Supplier,Closed,EQMS-5154462,2024-09-10
237,49702,INV-0000237,2024-10-09,Minor,Operator,In Progress,EQMS-2012842,
238,48312,INV-0000238,2024-10-09,Minor,Supplier,Closed,EQMS-1666249,2025-01-03
239,82061,INV-0000239,2024-03-17,Minor,Operator,Closed,EQMS-8508777,2024-05-07
240,52079,INV-0000240,2025-09-05,Major,Equipment,Closed,EQMS-0229777,2025-10-19
241,105827,INV-0000241,2024-02-18,Major,Operator,In Progress,EQMS-3180913,
242,21860,INV-0000242,2025-05-11,Major,Equipment,In Progress,EQMS-0562601,
243,52144,INV-0000243,2024-06-02,Minor,Equipment,Open,EQMS-2140096,
244,21065,INV-0000244,2024-10-12,Minor,Specification,Closed,EQMS-3325117,2024-12-16
245,45237,INV-0000245,2024-10-24,Minor,Equipment,Closed,EQMS-4575933,2024-11-07
246,87604,INV-0000246,2024-10-10,Major,Analytical Method,In Progress,EQMS-8289503,
247,105788,INV-0000247,2024-06-07,Minor,Equipment,In Progress,EQMS-5102588,
248,24466,INV-0000248,2024-02-10,Minor,Operator,In Progress,EQMS-8968638,
249,585,INV-0000249,2025-11-17,Major,Specification,Open,EQMS-0356752,
250,36144,INV-0000250,2025-11-15,Major,Unknown,Closed,EQMS-9411142,2026-01-13
251,92173,INV-0000251,2024-03-22,Major,Operator,In Progress,EQMS-0740083,
252,44819,INV-0000252,2025-02-10,Minor,Supplier,In Progress,EQMS-6014418,
253,65040,INV-0000253,2025-09-26,Minor,Sample Handling,Closed,EQMS-3325100,2025-10-20
254,46266,INV-0000254,2025-10-03,Minor,Supplier,In Progress,EQMS-7889894,
255,48567,INV-0000255,2025-07-08,Major,Sample Handling,Open,EQMS-3497816,
256,1255,INV-0000256,2025-09-05,Minor,Operator,Closed,EQMS-6051797,2025-10-24
257,28401,INV-0000257,2025-12-01,Minor,Operator,Open,EQMS-6523045,
258,38965,INV-0000258,2026-03-11,Major,Specification,Open,EQMS-5920361,
259,57863,INV-0000259,2025-06-02,Critical,Supplier,Closed,EQMS-2695061,2025-08-29
260,81901,INV-0000260,2025-07-24,Minor,Equipment,Closed,EQMS-7467495,2025-09-10
261,105500,INV-0000261,2024-07-29,Minor,Operator,Closed,EQMS-3257045,2024-08-22
262,89827,INV-0000262,2024-12-22,Major,Sample Handling,In Progress,EQMS-7718808,
263,84841,INV-0000263,2025-05-31,Minor,Supplier,Closed,EQMS-9127002,2025-06-14
264,12060,INV-0000264,2024-08-17,Minor,Analytical Method,Closed,EQMS-8035117,2024-11-05
265,4205,INV-0000265,2024-05-16,Minor,Specification,Closed,EQMS-4797627,2024-07-04
266,100624,INV-0000266,2026-03-07,Critical,Operator,Closed,EQMS-1110060,2026-05-21
267,106522,INV-0000267,2025-10-31,Major,Unknown,Closed,EQMS-3616388,2025-11-13
268,25915,INV-0000268,2024-04-30,Major,Supplier,Closed,EQMS-9560351,2024-06-21
269,19046,INV-0000269,2024-10-27,Minor,Operator,Open,EQMS-1149872,
270,88255,INV-0000270,2025-10-06,Major,Supplier,Open,EQMS-4636833,
271,69309,INV-0000271,2026-03-03,Major,Supplier,Closed,EQMS-7159008,2026-05-02
272,104708,INV-0000272,2025-04-27,Minor,Unknown,In Progress,EQMS-7789475,
273,110419,INV-0000273,2024-12-04,Minor,Specification,Closed,EQMS-2440511,2025-02-13
274,34407,INV-0000274,2025-03-09,Minor,Sample Handling,Closed,EQMS-6676828,2025-04-06
275,53343,INV-0000275,2024-10-04,Minor,Analytical Method,Closed,EQMS-0338834,2024-12-25
276,24077,INV-0000276,2024-03-07,Major,Specification,Closed,EQMS-0294552,2024-05-15
277,9485,INV-0000277,2024-07-01,Minor,Unknown,Closed,EQMS-0304852,2024-09-13
278,98275,INV-0000278,2026-01-16,Critical,Analytical Method,Closed,EQMS-9303735,2026-04-13
279,30452,INV-0000279,2024-05-29,Major,Equipment,In Progress,EQMS-8864681,
280,59317,INV-0000280,2025-10-10,Minor,Operator,Closed,EQMS-4231311,2025-12-30
281,75015,INV-0000281,2024-04-19,Major,Supplier,Closed,EQMS-3475910,2024-07-01
282,96710,INV-0000282,2024-01-19,Major,Unknown,Closed,EQMS-5131696,2024-04-10
283,16838,INV-0000283,2025-04-26,Minor,Sample Handling,In Progress,EQMS-1033272,
284,6215,INV-0000284,2024-12-30,Minor,Supplier,Open,EQMS-7694926,
285,33566,INV-0000285,2024-04-18,Major,Sample Handling,Open,EQMS-0363941,
286,60946,INV-0000286,2026-02-14,Minor,Equipment,Closed,EQMS-2789362,2026-03-23
287,35555,INV-0000287,2025-02-27,Major,Supplier,In Progress,EQMS-0398962,
288,60655,INV-0000288,2024-07-19,Minor,Supplier,Open,EQMS-6048032,
289,119137,INV-0000289,2025-08-26,Minor,Supplier,Closed,EQMS-4128465,2025-11-22
290,82489,INV-0000290,2025-09-13,Major,Supplier,Open,EQMS-0782820,
291,113246,INV-0000291,2024-02-23,Minor,Operator,Closed,EQMS-5270422,2024-03-23
292,79759,INV-0000292,2025-04-04,Minor,Equipment,Closed,EQMS-9621514,2025-06-20
293,112942,INV-0000293,2025-11-11,Minor,Supplier,Closed,EQMS-7555943,2026-01-16
294,69999,INV-0000294,2026-01-11,Minor,Unknown,In Progress,EQMS-4808353,
295,94542,INV-0000295,2024-03-11,Major,Specification,Closed,EQMS-3787582,2024-06-02
296,117364,INV-0000296,2025-03-06,Minor,Specification,Closed,EQMS-3299015,2025-05-09
297,32755,INV-0000297,2025-12-30,Major,Unknown,Closed,EQMS-2078124,2026-01-09
298,92236,INV-0000298,2024-07-08,Minor,Unknown,Closed,EQMS-3696267,2024-07-29
299,50276,INV-0000299,2024-03-26,Major,Unknown,Closed,EQMS-9449480,2024-06-10
300,24933,INV-0000300,2024-06-04,Major,Analytical Method,Closed,EQMS-2054048,2024-06-27
301,75845,INV-0000301,2024-08-06,Major,Operator,In Progress,EQMS-5300002,
302,64862,INV-0000302,2024-02-07,Major,Specification,Open,EQMS-7070091,
