complaint_id,material_id,supplier_id,complaint_number,complaint_type,severity,opened_date,status
48,289,22,CMP-000048,Appearance,Major,2026-04-05,Closed
49,140,35,CMP-000049,Performance,Minor,2025-11-21,Open
50,250,36,CMP-000050,Performance,Minor,2025-11-17,Closed
51,262,34,CMP-000051,Contamination,Major,2025-01-13,Closed
52,53,120,CMP-000052,Contamination,Minor,2024-04-02,Closed
53,292,103,CMP-000053,Documentation,Minor,2024-03-16,Closed
54,187,5,CMP-000054,Appearance,Minor,2026-04-04,Closed
55,175,59,CMP-000055,Appearance,Minor,2025-06-19,Open
56,134,41,CMP-000056,Contamination,Minor,2025-04-23,Closed
57,105,22,CMP-000057,Appearance,Minor,2025-03-31,Closed
58,10,79,CMP-000058,Performance,Minor,2026-01-21,Open
59,157,77,CMP-000059,Packaging,Minor,2025-09-30,Closed
60,160,95,CMP-000060,Documentation,Minor,2024-03-12,Open
61,42,58,CMP-000061,Appearance,Minor,2024-09-26,Closed
62,61,20,CMP-000062,Documentation,Minor,2025-09-16,Closed
63,214,104,CMP-000063,Appearance,Minor,2024-01-12,Closed
64,164,8,CMP-000064,Documentation,Major,2024-05-09,Closed
65,126,84,CMP-000065,Contamination,Minor,2026-02-07,Closed
66,113,107,CMP-000066,Performance,Minor,2025-02-02,Closed
67,251,79,CMP-000067,Packaging,Major,2025-09-02,Closed
68,298,41,CMP-000068,Packaging,Minor,2026-01-12,Closed
69,119,103,CMP-000069,Performance,Major,2024-10-15,Open
70,6,117,CMP-000070,Documentation,Major,2025-11-15,Closed
71,133,84,CMP-000071,Packaging,Major,2025-06-09,Closed
72,210,2,CMP-000072,Documentation,Minor,2025-09-05,Closed
73,68,27,CMP-000073,Contamination,Major,2025-08-11,Closed
74,149,81,CMP-000074,Performance,Critical,2025-01-25,Closed
75,91,3,CMP-000075,Appearance,Major,2024-05-21,Closed
76,227,42,CMP-000076,Appearance,Minor,2025-06-13,Open
77,284,5,CMP-000077,Documentation,Major,2025-05-03,Closed
78,249,35,CMP-000078,Contamination,Major,2025-06-06,Open
79,158,49,CMP-000079,Contamination,Major,2025-01-28,Open
80,78,43,CMP-000080,Documentation,Major,2026-04-22,Closed
81,154,58,CMP-000081,Appearance,Major,2025-05-05,Closed
82,91,20,CMP-000082,Documentation,Minor,2024-10-29,Closed
83,282,9,CMP-000083,Packaging,Minor,2025-11-16,Open
84,281,114,CMP-000084,Documentation,Major,2024-01-31,Closed
85,38,59,CMP-000085,Appearance,Critical,2024-03-13,Closed
86,129,50,CMP-000086,Contamination,Major,2026-01-03,Closed
87,14,66,CMP-000087,Contamination,Minor,2024-09-28,Closed
88,33,70,CMP-000088,Documentation,Minor,2024-06-26,Open
89,23,37,CMP-000089,Packaging,Critical,2024-07-08,Closed
90,41,109,CMP-000090,Contamination,Minor,2025-03-15,Closed
91,234,20,CMP-000091,Performance,Major,2025-02-05,Closed
92,286,83,CMP-000092,Packaging,Minor,2024-06-30,Closed
93,63,102,CMP-000093,Contamination,Minor,2025-10-31,Closed
94,276,47,CMP-000094,Contamination,Critical,2025-12-20,Closed
95,296,108,CMP-000095,Packaging,Major,2024-11-03,Closed
96,267,67,CMP-000096,Documentation,Critical,2026-02-02,Closed
97,204,89,CMP-000097,Contamination,Minor,2024-09-19,Open
98,264,49,CMP-000098,Contamination,Minor,2024-09-17,Closed
99,201,39,CMP-000099,Contamination,Major,2025-07-23,Closed
100,256,31,CMP-000100,Contamination,Minor,2024-11-26,Closed
101,295,112,CMP-000101,Contamination,Major,2024-08-16,Closed
102,184,5,CMP-000102,Documentation,Major,2025-04-12,Closed
103,138,70,CMP-000103,Documentation,Minor,2025-01-04,Closed
104,168,84,CMP-000104,Contamination,Major,2024-12-10,Open
105,183,51,CMP-000105,Appearance,Critical,2024-06-07,Open
106,235,69,CMP-000106,Appearance,Minor,2025-09-22,Closed
107,101,51,CMP-000107,Contamination,Minor,2026-03-19,Closed
108,175,45,CMP-000108,Documentation,Minor,2024-03-01,Closed
109,198,86,CMP-000109,Performance,Major,2024-10-08,Open
110,150,98,CMP-000110,Contamination,Major,2024-06-08,Closed
111,201,34,CMP-000111,Appearance,Minor,2025-09-05,Closed
112,76,31,CMP-000112,Documentation,Major,2024-03-23,Closed
113,265,6,CMP-000113,Appearance,Minor,2025-07-16,Closed
114,211,20,CMP-000114,Appearance,Major,2024-04-16,Closed
115,98,6,CMP-000115,Contamination,Major,2024-02-23,Closed
116,89,109,CMP-000116,Packaging,Minor,2025-11-16,Closed
117,162,35,CMP-000117,Performance,Major,2025-12-24,Closed
118,81,83,CMP-000118,Appearance,Critical,2024-06-13,Closed
119,95,113,CMP-000119,Performance,Major,2024-04-10,Closed
120,168,64,CMP-000120,Documentation,Major,2024-06-11,Closed
121,10,15,CMP-000121,Appearance,Major,2024-02-18,Closed
122,184,50,CMP-000122,Appearance,Critical,2025-01-18,Open
123,185,99,CMP-000123,Documentation,Minor,2025-03-19,Closed
124,205,42,CMP-000124,Performance,Minor,2024-12-21,Closed
125,274,101,CMP-000125,Documentation,Critical,2026-01-24,Closed
126,271,105,CMP-000126,Documentation,Minor,2024-02-03,Open
127,41,37,CMP-000127,Performance,Major,2025-08-31,Closed
128,47,51,CMP-000128,Contamination,Minor,2024-10-29,Open
129,239,106,CMP-000129,Documentation,Minor,2025-03-01,Open
130,280,110,CMP-000130,Appearance,Minor,2024-10-17,Closed
131,56,5,CMP-000131,Performance,Major,2025-07-04,Closed
132,263,1,CMP-000132,Contamination,Minor,2024-05-17,Closed
133,123,114,CMP-000133,Documentation,Minor,2024-04-10,Closed
134,11,74,CMP-000134,Appearance,Minor,2024-11-13,Closed
135,10,17,CMP-000135,Performance,Major,2024-03-26,Closed
136,105,81,CMP-000136,Performance,Major,2025-01-22,Closed
137,287,30,CMP-000137,Packaging,Major,2024-08-11,Closed
138,38,94,CMP-000138,Appearance,Minor,2024-04-20,Closed
139,196,54,CMP-000139,Appearance,Critical,2024-05-12,Closed
140,157,99,CMP-000140,Contamination,Minor,2026-04-05,Closed
141,130,69,CMP-000141,Documentation,Critical,2025-02-23,Open
142,267,4,CMP-000142,Performance,Minor,2025-11-12,Open
143,64,47,CMP-000143,Contamination,Major,2024-07-22,Closed
144,68,78,CMP-000144,Appearance,Critical,2026-04-16,Closed
145,36,73,CMP-000145,Documentation,Major,2025-07-11,Closed
146,254,60,CMP-000146,Performance,Minor,2025-03-14,Closed
147,57,116,CMP-000147,Contamination,Minor,2026-03-13,Closed
148,215,40,CMP-000148,Packaging,Major,2024-07-18,Closed
149,220,118,CMP-000149,Packaging,Major,2026-01-29,Closed
150,170,76,CMP-000150,Documentation,Major,2025-01-30,Closed
151,181,120,CMP-000151,Packaging,Major,2025-01-31,Closed
152,88,104,CMP-000152,Documentation,Major,2026-02-12,Closed
153,262,31,CMP-000153,Performance,Major,2026-04-17,Open
154,42,96,CMP-000154,Performance,Critical,2024-10-25,Closed
155,216,22,CMP-000155,Performance,Minor,2025-11-15,Closed
156,271,79,CMP-000156,Appearance,Major,2025-07-11,Closed
157,225,49,CMP-000157,Performance,Minor,2024-11-30,Closed
158,157,38,CMP-000158,Appearance,Major,2024-01-15,Closed
159,70,65,CMP-000159,Performance,Minor,2024-06-28,Closed
160,257,102,CMP-000160,Documentation,Minor,2025-11-13,Closed
161,293,88,CMP-000161,Appearance,Major,2024-07-02,Closed
162,167,7,CMP-000162,Appearance,Major,2024-09-09,Open
163,45,99,CMP-000163,Packaging,Minor,2024-02-11,Closed
164,26,9,CMP-000164,Documentation,Major,2024-06-25,Closed
165,207,82,CMP-000165,Documentation,Major,2025-08-04,Closed
166,271,94,CMP-000166,Packaging,Minor,2024-07-13,Closed
167,74,31,CMP-000167,Performance,Minor,2026-02-18,Closed
168,189,47,CMP-000168,Contamination,Minor,2025-04-09,Closed
169,289,21,CMP-000169,Packaging,Minor,2025-01-19,Open
170,261,46,CMP-000170,Contamination,Critical,2024-10-10,Closed
171,38,8,CMP-000171,Appearance,Minor,2024-04-06,Closed
172,190,50,CMP-000172,Appearance,Critical,2024-07-08,Open
173,141,59,CMP-000173,Appearance,Minor,2025-04-04,Closed
174,154,28,CMP-000174,Contamination,Minor,2025-03-20,Open
175,237,28,CMP-000175,Packaging,Minor,2025-12-05,Closed
176,251,93,CMP-000176,Documentation,Major,2024-02-08,Closed
177,249,109,CMP-000177,Documentation,Major,2025-05-19,Closed
178,99,86,CMP-000178,Documentation,Critical,2025-09-14,Closed
179,173,6,CMP-000179,Performance,Minor,2024-02-12,Closed
180,250,97,CMP-000180,Packaging,Minor,2025-12-10,Closed
181,267,116,CMP-000181,Appearance,Critical,2024-02-28,Open
182,113,54,CMP-000182,Documentation,Minor,2026-03-28,Closed
183,213,110,CMP-000183,Performance,Minor,2024-03-12,Closed
184,236,49,CMP-000184,Performance,Major,2025-08-31,Closed
185,15,96,CMP-000185,Documentation,Minor,2025-08-17,Closed
186,91,90,CMP-000186,Contamination,Major,2025-09-19,Closed
187,33,53,CMP-000187,Performance,Minor,2024-03-20,Closed
188,82,44,CMP-000188,Packaging,Major,2025-10-21,Closed
189,2,14,CMP-000189,Performance,Minor,2025-04-13,Closed
190,75,110,CMP-000190,Appearance,Critical,2025-02-03,Closed
191,88,114,CMP-000191,Contamination,Critical,2025-11-24,Open
192,169,105,CMP-000192,Documentation,Minor,2026-04-04,Closed
193,177,111,CMP-000193,Appearance,Minor,2025-09-13,Closed
194,3,96,CMP-000194,Performance,Minor,2025-08-31,Closed
195,279,120,CMP-000195,Contamination,Minor,2024-11-04,Closed
196,249,114,CMP-000196,Documentation,Minor,2025-10-12,Closed
197,57,105,CMP-000197,Documentation,Major,2024-01-12,Closed
198,137,89,CMP-000198,Contamination,Minor,2026-04-05,Closed
199,216,79,CMP-000199,Contamination,Critical,2025-01-23,Open
200,161,52,CMP-000200,Performance,Major,2025-06-30,Closed
201,5,22,CMP-000201,Packaging,Critical,2025-06-04,Closed
202,24,17,CMP-000202,Documentation,Critical,2024-09-01,Closed
203,277,44,CMP-000203,Documentation,Major,2024-06-26,Closed
204,66,64,CMP-000204,Packaging,Minor,2025-09-13,Closed
205,59,10,CMP-000205,Contamination,Minor,2025-06-07,Closed
206,110,57,CMP-000206,Performance,Major,2024-01-13,Closed
207,8,17,CMP-000207,Packaging,Major,2024-11-24,Closed
208,261,15,CMP-000208,Documentation,Major,2024-10-22,Open
209,159,89,CMP-000209,Performance,Minor,2026-01-15,Open
210,218,30,CMP-000210,Packaging,Minor,2024-10-29,Closed
211,137,110,CMP-000211,Packaging,Major,2026-04-08,Closed
212,24,75,CMP-000212,Documentation,Minor,2025-06-21,Closed
213,110,84,CMP-000213,Documentation,Minor,2026-04-26,Closed
214,6,21,CMP-000214,Performance,Minor,2025-10-04,Closed
215,274,16,CMP-000215,Documentation,Minor,2025-03-12,Open
216,262,9,CMP-000216,Documentation,Critical,2025-11-13,Closed
217,226,31,CMP-000217,Performance,Minor,2024-12-20,Closed
218,78,105,CMP-000218,Appearance,Minor,2024-05-26,Open
219,223,111,CMP-000219,Documentation,Minor,2024-04-27,Closed
220,3,78,CMP-000220,Appearance,Minor,2024-11-09,Open
221,294,85,CMP-000221,Packaging,Critical,2026-02-25,Closed
222,188,84,CMP-000222,Documentation,Minor,2025-04-16,Closed
223,221,85,CMP-000223,Performance,Major,2024-12-07,Open
224,89,90,CMP-000224,Appearance,Minor,2026-03-07,Closed
225,220,111,CMP-000225,Performance,Minor,2024-06-20,Closed
226,212,42,CMP-000226,Performance,Major,2025-12-21,Closed
227,18,43,CMP-000227,Packaging,Minor,2024-12-06,Closed
228,98,2,CMP-000228,Contamination,Minor,2024-08-18,Closed
229,6,104,CMP-000229,Appearance,Major,2024-04-23,Closed
230,146,22,CMP-000230,Packaging,Critical,2024-06-25,Open
231,248,87,CMP-000231,Documentation,Minor,2025-03-08,Closed
232,208,46,CMP-000232,Contamination,Major,2024-12-07,Closed
233,71,114,CMP-000233,Performance,Minor,2024-08-03,Closed
234,206,101,CMP-000234,Performance,Minor,2024-03-15,Closed
235,63,112,CMP-000235,Appearance,Minor,2025-12-25,Closed
236,63,26,CMP-000236,Packaging,Minor,2025-10-14,Closed
237,181,107,CMP-000237,Performance,Minor,2024-03-08,Closed
238,148,63,CMP-000238,Contamination,Minor,2026-02-15,Open
239,36,79,CMP-000239,Documentation,Minor,2025-11-05,Closed
240,283,94,CMP-000240,Contamination,Critical,2024-11-19,Open
241,220,68,CMP-000241,Performance,Major,2025-12-17,Closed
242,189,2,CMP-000242,Appearance,Minor,2025-11-05,Open
243,61,105,CMP-000243,Documentation,Major,2025-10-04,Closed
244,86,37,CMP-000244,Appearance,Major,2025-06-25,Open
245,266,106,CMP-000245,Contamination,Minor,2025-03-28,Open
246,199,95,CMP-000246,Documentation,Minor,2025-07-10,Open
247,25,9,CMP-000247,Documentation,Major,2025-12-27,Open
248,235,40,CMP-000248,Packaging,Major,2025-04-15,Closed
249,155,55,CMP-000249,Packaging,Major,2026-04-12,Closed
250,10,19,CMP-000250,Documentation,Minor,2024-01-07,Closed
251,198,61,CMP-000251,Packaging,Major,2026-02-27,Closed
252,251,110,CMP-000252,Packaging,Major,2025-10-04,Open
253,188,3,CMP-000253,Appearance,Major,2024-02-23,Closed
254,231,110,CMP-000254,Performance,Major,2026-01-17,Closed
255,82,90,CMP-000255,Appearance,Minor,2024-02-09,Closed
256,176,19,CMP-000256,Packaging,Minor,2024-08-22,Closed
257,161,66,CMP-000257,Documentation,Minor,2025-12-30,Open
258,160,57,CMP-000258,Performance,Minor,2025-09-15,Closed
259,296,87,CMP-000259,Packaging,Minor,2024-07-16,Closed
260,224,25,CMP-000260,Appearance,Major,2024-07-19,Closed
261,158,103,CMP-000261,Packaging,Major,2024-07-10,Open
262,257,86,CMP-000262,Appearance,Major,2024-01-16,Closed
263,79,35,CMP-000263,Appearance,Critical,2024-05-04,Open
264,233,10,CMP-000264,Documentation,Minor,2024-10-11,Open
265,111,32,CMP-000265,Appearance,Major,2026-02-24,Closed
266,94,49,CMP-000266,Appearance,Minor,2024-08-28,Closed
267,88,108,CMP-000267,Contamination,Minor,2024-11-22,Closed
268,133,113,CMP-000268,Performance,Critical,2025-06-17,Closed
269,64,97,CMP-000269,Performance,Minor,2025-02-15,Open
270,234,58,CMP-000270,Packaging,Major,2024-05-12,Open
271,59,21,CMP-000271,Appearance,Minor,2025-11-27,Closed
272,24,12,CMP-000272,Packaging,Critical,2024-02-15,Closed
273,192,46,CMP-000273,Performance,Critical,2025-07-13,Closed
274,208,100,CMP-000274,Appearance,Minor,2024-07-06,Closed
275,58,61,CMP-000275,Performance,Critical,2025-08-03,Closed
276,1,38,CMP-000276,Appearance,Minor,2025-01-25,Open
277,252,105,CMP-000277,Contamination,Major,2025-12-02,Closed
278,60,112,CMP-000278,Appearance,Minor,2025-03-29,Closed
279,143,111,CMP-000279,Documentation,Minor,2025-02-25,Closed
280,292,27,CMP-000280,Performance,Minor,2024-11-04,Closed
281,89,26,CMP-000281,Contamination,Minor,2024-03-16,Closed
282,274,20,CMP-000282,Appearance,Major,2025-07-01,Open
283,294,44,CMP-000283,Contamination,Minor,2026-03-21,Closed
284,157,71,CMP-000284,Documentation,Critical,2025-04-10,Closed
285,149,49,CMP-000285,Packaging,Major,2025-05-14,Closed
286,46,115,CMP-000286,Packaging,Minor,2025-08-14,Closed
287,79,97,CMP-000287,Packaging,Minor,2025-02-25,Closed
288,165,74,CMP-000288,Contamination,Minor,2024-10-25,Closed
289,9,17,CMP-000289,Contamination,Major,2024-02-26,Closed
290,208,5,CMP-000290,Contamination,Critical,2026-03-02,Closed
291,67,70,CMP-000291,Packaging,Major,2024-02-18,Closed
292,204,9,CMP-000292,Documentation,Major,2024-09-30,Closed
293,87,36,CMP-000293,Packaging,Minor,2024-07-14,Closed
294,145,91,CMP-000294,Performance,Major,2025-03-18,Open
295,162,6,CMP-000295,Performance,Minor,2025-09-21,Closed
296,179,42,CMP-000296,Documentation,Major,2024-10-19,Open
297,187,90,CMP-000297,Documentation,Minor,2026-03-02,Open
298,146,46,CMP-000298,Performance,Minor,2024-12-04,Open
299,226,109,CMP-000299,Packaging,Minor,2025-10-20,Closed
300,89,6,CMP-000300,Documentation,Major,2025-03-29,Closed
301,56,100,CMP-000301,Contamination,Minor,2026-01-03,Closed
302,5,50,CMP-000302,Performance,Minor,2024-09-22,Closed
303,300,77,CMP-000303,Documentation,Minor,2024-01-14,Closed
304,30,64,CMP-000304,Performance,Minor,2025-11-01,Closed
305,87,87,CMP-000305,Documentation,Major,2025-08-08,Closed
306,95,10,CMP-000306,Documentation,Minor,2025-09-10,Closed
307,74,29,CMP-000307,Appearance,Minor,2025-03-11,Closed
308,52,89,CMP-000308,Performance,Minor,2025-06-14,Closed
309,202,11,CMP-000309,Packaging,Minor,2024-03-24,Closed
310,4,106,CMP-000310,Documentation,Minor,2025-12-30,Open
311,55,79,CMP-000311,Contamination,Major,2025-08-10,Closed
312,159,31,CMP-000312,Packaging,Critical,2025-11-12,Open
313,260,44,CMP-000313,Documentation,Major,2024-09-21,Closed
314,41,114,CMP-000314,Contamination,Major,2025-09-07,Closed
315,242,91,CMP-000315,Appearance,Minor,2024-07-29,Closed
316,53,58,CMP-000316,Contamination,Major,2025-07-19,Open
317,27,55,CMP-000317,Performance,Major,2024-12-31,Closed
318,269,22,CMP-000318,Performance,Minor,2025-01-01,Closed
319,18,74,CMP-000319,Performance,Minor,2024-05-17,Closed
320,111,78,CMP-000320,Contamination,Major,2025-10-29,Open
321,208,107,CMP-000321,Documentation,Minor,2025-11-10,Closed
322,32,58,CMP-000322,Performance,Major,2024-01-01,Closed
323,6,74,CMP-000323,Packaging,Major,2024-12-09,Closed
324,230,93,CMP-000324,Performance,Minor,2024-03-07,Open
325,92,48,CMP-000325,Documentation,Minor,2025-10-28,Closed
326,182,115,CMP-000326,Documentation,Minor,2024-02-07,Open
327,197,55,CMP-000327,Packaging,Minor,2024-11-16,Closed
328,211,102,CMP-000328,Packaging,Major,2026-02-15,Closed
329,103,6,CMP-000329,Documentation,Major,2025-11-19,Closed
330,127,30,CMP-000330,Packaging,Minor,2025-11-04,Closed
331,24,64,CMP-000331,Documentation,Minor,2024-03-11,Closed
332,59,61,CMP-000332,Documentation,Minor,2024-12-13,Closed
333,130,35,CMP-000333,Packaging,Minor,2024-05-06,Closed
334,289,110,CMP-000334,Performance,Major,2024-04-23,Closed
335,119,85,CMP-000335,Appearance,Major,2024-12-30,Closed
336,18,72,CMP-000336,Packaging,Major,2024-05-25,Closed
337,32,63,CMP-000337,Contamination,Minor,2025-11-18,Closed
338,23,35,CMP-000338,Packaging,Major,2024-11-08,Closed
339,231,98,CMP-000339,Documentation,Minor,2024-11-30,Closed
340,203,21,CMP-000340,Appearance,Minor,2025-09-21,Closed
341,102,24,CMP-000341,Performance,Minor,2026-04-08,Open
342,41,56,CMP-000342,Performance,Major,2026-01-29,Closed
343,20,40,CMP-000343,Packaging,Minor,2024-02-18,Open
344,131,17,CMP-000344,Performance,Major,2025-03-16,Open
345,133,116,CMP-000345,Appearance,Major,2024-05-25,Open
346,58,59,CMP-000346,Documentation,Minor,2025-08-27,Open
347,12,93,CMP-000347,Appearance,Minor,2024-02-07,Open
348,113,114,CMP-000348,Appearance,Major,2024-03-09,Closed
349,224,109,CMP-000349,Documentation,Major,2025-03-03,Closed
350,183,73,CMP-000350,Contamination,Major,2024-01-08,Closed
351,225,83,CMP-000351,Appearance,Major,2024-04-01,Closed
352,125,62,CMP-000352,Performance,Minor,2025-06-21,Closed
353,166,14,CMP-000353,Performance,Minor,2024-03-11,Closed
354,1,120,CMP-000354,Documentation,Major,2024-09-03,Closed
355,138,43,CMP-000355,Appearance,Minor,2025-10-07,Closed
356,277,85,CMP-000356,Appearance,Minor,2025-07-20,Closed
357,50,63,CMP-000357,Contamination,Major,2024-11-04,Closed
358,110,81,CMP-000358,Performance,Major,2024-08-03,Closed
359,212,19,CMP-000359,Appearance,Major,2026-03-15,Closed
360,221,20,CMP-000360,Performance,Major,2024-03-28,Closed
361,287,21,CMP-000361,Packaging,Major,2025-06-10,Closed
362,149,89,CMP-000362,Performance,Minor,2025-09-07,Open
363,4,58,CMP-000363,Documentation,Minor,2024-08-28,Closed
364,177,40,CMP-000364,Performance,Major,2024-02-20,Closed
365,93,39,CMP-000365,Appearance,Major,2024-10-02,Closed
366,161,120,CMP-000366,Contamination,Major,2025-09-02,Closed
367,241,101,CMP-000367,Documentation,Minor,2025-06-28,Closed
368,251,94,CMP-000368,Contamination,Minor,2024-04-26,Closed
369,95,8,CMP-000369,Packaging,Minor,2024-03-29,Closed
370,109,51,CMP-000370,Appearance,Major,2024-08-07,Closed
371,99,120,CMP-000371,Documentation,Minor,2025-05-09,Open
372,272,84,CMP-000372,Contamination,Major,2024-09-20,Open
373,17,32,CMP-000373,Documentation,Minor,2025-12-29,Closed
374,53,24,CMP-000374,Documentation,Minor,2024-07-26,Closed
375,161,116,CMP-000375,Performance,Minor,2025-04-07,Closed
376,235,84,CMP-000376,Appearance,Major,2024-04-10,Open
377,14,55,CMP-000377,Packaging,Minor,2025-12-25,Open
378,217,26,CMP-000378,Appearance,Minor,2025-01-06,Open
379,290,17,CMP-000379,Documentation,Major,2025-01-24,Closed
380,110,40,CMP-000380,Appearance,Minor,2024-04-08,Open
381,115,41,CMP-000381,Contamination,Critical,2024-03-09,Open
382,261,107,CMP-000382,Appearance,Minor,2024-04-07,Closed
383,10,41,CMP-000383,Documentation,Major,2026-02-26,Closed
384,297,13,CMP-000384,Packaging,Minor,2025-11-16,Closed
385,265,64,CMP-000385,Packaging,Major,2025-12-09,Closed
386,268,56,CMP-000386,Appearance,Minor,2025-09-29,Closed
387,144,94,CMP-000387,Performance,Minor,2025-01-25,Closed
388,205,37,CMP-000388,Appearance,Minor,2024-02-29,Closed
389,272,78,CMP-000389,Appearance,Major,2025-12-30,Closed
390,110,113,CMP-000390,Packaging,Major,2024-09-26,Closed
391,58,62,CMP-000391,Packaging,Minor,2024-05-31,Open
392,164,111,CMP-000392,Packaging,Critical,2024-05-26,Open
393,73,34,CMP-000393,Packaging,Minor,2025-07-13,Open
394,241,102,CMP-000394,Documentation,Minor,2024-03-07,Closed
395,31,52,CMP-000395,Contamination,Major,2025-01-24,Open
396,77,21,CMP-000396,Documentation,Major,2025-12-24,Closed
397,226,5,CMP-000397,Contamination,Minor,2024-11-18,Closed
398,246,57,CMP-000398,Documentation,Minor,2024-10-08,Closed
399,254,5,CMP-000399,Packaging,Minor,2026-02-13,Closed
400,156,6,CMP-000400,Appearance,Minor,2024-04-02,Closed
401,200,109,CMP-000401,Contamination,Critical,2025-04-15,Closed
402,17,63,CMP-000402,Performance,Minor,2024-03-31,Closed
403,72,64,CMP-000403,Contamination,Critical,2025-08-26,Closed
404,88,66,CMP-000404,Packaging,Minor,2024-06-11,Closed
405,186,109,CMP-000405,Appearance,Major,2024-07-07,Closed
406,288,42,CMP-000406,Documentation,Minor,2025-11-27,Closed
407,158,4,CMP-000407,Performance,Minor,2025-01-21,Closed
408,81,77,CMP-000408,Appearance,Critical,2025-03-03,Closed
409,192,44,CMP-000409,Performance,Minor,2026-02-07,Closed
410,5,81,CMP-000410,Performance,Major,2026-01-10,Open
411,147,34,CMP-000411,Packaging,Minor,2026-01-26,Closed
412,19,102,CMP-000412,Documentation,Major,2025-09-17,Closed
413,168,37,CMP-000413,Performance,Minor,2025-07-20,Closed
414,67,85,CMP-000414,Performance,Minor,2024-01-05,Open
415,248,22,CMP-000415,Documentation,Minor,2025-03-12,Closed
416,34,100,CMP-000416,Appearance,Minor,2024-03-24,Closed
417,108,111,CMP-000417,Documentation,Minor,2025-03-04,Closed
418,70,54,CMP-000418,Contamination,Minor,2025-11-08,Open
419,161,49,CMP-000419,Contamination,Major,2024-10-10,Open
420,31,58,CMP-000420,Performance,Major,2025-05-28,Closed
421,212,46,CMP-000421,Packaging,Minor,2025-04-23,Closed
422,278,15,CMP-000422,Documentation,Minor,2025-11-01,Closed
423,167,33,CMP-000423,Appearance,Major,2024-12-21,Closed
424,69,53,CMP-000424,Appearance,Minor,2026-03-01,Closed
425,170,9,CMP-000425,Appearance,Major,2024-06-17,Closed
426,253,113,CMP-000426,Contamination,Minor,2024-01-28,Closed
427,78,70,CMP-000427,Packaging,Critical,2024-05-26,Open
428,293,79,CMP-000428,Performance,Minor,2024-05-30,Closed
429,176,66,CMP-000429,Contamination,Minor,2025-05-27,Closed
430,287,77,CMP-000430,Contamination,Major,2025-12-02,Closed
431,54,72,CMP-000431,Documentation,Minor,2025-04-07,Closed
