stability_result_id,material_id,method_id,condition,timepoint_month,result_numeric,status,tested_date
137,31,5,25C/60RH,0,91.0893,PASS,2024-11-02
138,250,23,2-8C,36,99.7953,OOS,2024-03-26
139,165,18,25C/60RH,12,91.2349,PASS,2024-04-19
140,20,24,30C/65RH,18,100.4262,PASS,2025-08-31
141,280,40,2-8C,18,102.2057,PASS,2024-02-01
142,172,35,40C/75RH,9,81.885,PASS,2024-04-29
143,181,44,25C/60RH,9,100.6237,PASS,2024-10-21
144,42,5,40C/75RH,36,99.9588,PASS,2024-11-15
145,235,23,25C/60RH,6,93.8953,PASS,2024-08-16
146,17,21,40C/75RH,24,99.5848,PASS,2025-08-06
147,184,12,30C/65RH,1,96.1414,PASS,2025-09-14
148,239,45,2-8C,3,102.1561,PASS,2024-03-27
149,212,38,2-8C,6,93.219,PASS,2024-06-24
150,183,24,25C/60RH,12,87.7392,PASS,2025-06-20
151,16,9,30C/65RH,36,100.9783,PASS,2026-03-02
152,120,14,30C/65RH,3,100.4222,PASS,2025-01-01
153,40,38,30C/65RH,1,100.1336,PASS,2024-07-02
154,121,3,30C/65RH,12,84.0697,PASS,2024-12-29
155,110,6,40C/75RH,12,103.7747,PASS,2025-07-19
156,284,4,2-8C,9,101.3131,PASS,2024-03-13
157,180,10,25C/60RH,9,104.8725,OOT,2025-02-22
158,179,26,30C/65RH,3,99.1459,OOT,2025-10-12
159,191,3,2-8C,6,87.1519,PASS,2025-12-01
160,26,31,25C/60RH,0,97.5111,PASS,2024-11-02
161,143,41,30C/65RH,12,94.2183,PASS,2024-03-30
162,136,31,25C/60RH,1,106.0044,PASS,2025-09-02
163,27,17,2-8C,9,96.034,PASS,2025-07-21
164,9,18,2-8C,6,112.6224,PASS,2025-10-10
165,47,35,25C/60RH,1,91.8923,PASS,2024-04-06
166,18,3,2-8C,18,106.9506,PASS,2024-05-17
167,89,45,30C/65RH,3,102.4745,PASS,2026-04-27
168,156,22,2-8C,18,99.0972,PASS,2024-05-05
169,40,28,30C/65RH,9,97.0254,OOS,2025-04-02
170,19,34,2-8C,3,96.116,PASS,2024-11-19
171,155,34,40C/75RH,24,92.2512,PASS,2026-03-05
172,80,12,25C/60RH,12,90.1142,PASS,2025-01-14
173,203,42,2-8C,18,102.8574,PASS,2024-02-07
174,265,41,40C/75RH,12,98.9846,PASS,2025-04-20
175,290,35,25C/60RH,1,102.6652,PASS,2024-09-28
176,219,15,25C/60RH,24,103.9718,PASS,2024-10-22
177,231,43,25C/60RH,18,90.3601,PASS,2026-02-02
178,225,15,40C/75RH,9,92.2079,PASS,2025-11-04
179,20,37,30C/65RH,18,92.6189,OOT,2025-01-09
180,74,40,30C/65RH,6,94.18,PASS,2025-11-17
181,160,40,2-8C,3,92.0921,PASS,2025-07-10
182,210,31,30C/65RH,1,92.3496,PASS,2025-02-12
183,274,25,40C/75RH,3,100.7768,PASS,2025-06-14
184,125,2,40C/75RH,0,99.6243,PASS,2026-04-19
185,233,32,30C/65RH,9,99.0851,PASS,2025-05-12
186,134,26,30C/65RH,6,85.5433,PASS,2024-12-21
187,139,32,40C/75RH,3,86.279,PASS,2024-04-07
188,147,3,30C/65RH,3,91.7657,OOS,2025-12-09
189,101,34,40C/75RH,1,95.4011,PASS,2024-03-24
190,198,33,25C/60RH,9,107.0509,PASS,2024-06-21
191,236,30,40C/75RH,6,92.1163,OOS,2024-08-18
192,160,35,30C/65RH,24,98.665,PASS,2024-08-15
193,258,14,25C/60RH,9,92.1387,PASS,2024-03-11
194,33,7,30C/65RH,36,103.1389,PASS,2025-12-22
195,196,38,2-8C,12,103.4992,PASS,2025-11-06
196,150,40,2-8C,6,94.27,PASS,2026-04-27
197,259,44,2-8C,24,96.435,PASS,2025-07-06
198,300,45,2-8C,6,95.4928,PASS,2024-05-02
199,228,44,30C/65RH,36,103.3408,PASS,2024-01-20
200,189,4,30C/65RH,24,94.4186,OOS,2025-10-14
201,132,37,25C/60RH,3,99.2974,PASS,2025-03-10
202,95,30,40C/75RH,18,97.0016,PASS,2024-01-04
203,174,30,2-8C,6,96.0415,PASS,2024-08-13
204,270,12,2-8C,0,106.4094,PASS,2024-01-09
205,267,5,25C/60RH,1,107.4219,PASS,2024-03-22
206,271,32,25C/60RH,18,98.0577,OOS,2024-10-05
207,124,6,30C/65RH,24,97.807,PASS,2024-03-11
208,129,4,25C/60RH,18,99.176,PASS,2024-08-11
209,279,43,30C/65RH,6,102.1121,PASS,2024-05-17
210,249,8,40C/75RH,3,90.0231,PASS,2026-01-21
211,68,36,40C/75RH,1,107.3162,PASS,2024-08-08
212,88,34,2-8C,12,99.0554,PASS,2025-05-12
213,197,42,40C/75RH,24,83.0785,PASS,2025-05-26
214,164,35,25C/60RH,18,106.8233,PASS,2025-05-21
215,176,36,2-8C,6,106.4449,PASS,2024-01-10
216,264,42,30C/65RH,36,93.7608,PASS,2024-04-11
217,258,30,2-8C,12,93.3073,PASS,2024-01-04
218,139,27,25C/60RH,0,92.338,PASS,2025-04-28
219,159,36,40C/75RH,1,99.0471,PASS,2025-08-26
220,49,38,30C/65RH,36,96.2828,PASS,2025-08-08
221,41,30,2-8C,18,85.3398,PASS,2025-12-22
222,164,4,40C/75RH,3,92.7226,PASS,2025-02-13
223,73,14,25C/60RH,0,96.4638,PASS,2024-10-25
224,162,27,40C/75RH,12,90.9097,PASS,2026-04-17
225,161,3,30C/65RH,24,92.2379,PASS,2024-04-01
226,246,32,25C/60RH,3,95.6375,PASS,2026-03-29
227,297,1,30C/65RH,0,93.3765,PASS,2025-03-22
228,265,2,40C/75RH,36,110.9454,PASS,2024-07-05
229,174,24,25C/60RH,3,98.673,OOS,2024-03-29
230,167,40,40C/75RH,18,97.3516,PASS,2024-09-29
231,280,17,40C/75RH,0,96.1825,OOT,2026-01-17
232,192,10,40C/75RH,9,103.0098,PASS,2025-12-04
233,240,41,30C/65RH,0,98.8053,OOS,2025-11-30
234,165,15,30C/65RH,3,92.1137,PASS,2026-01-26
235,270,25,30C/65RH,1,96.6179,PASS,2026-02-27
236,29,31,25C/60RH,1,100.7803,PASS,2025-03-25
237,155,2,40C/75RH,24,108.6239,PASS,2024-05-11
238,66,26,30C/65RH,18,89.5883,PASS,2025-01-20
239,17,20,30C/65RH,36,91.1791,PASS,2025-12-14
240,8,32,2-8C,36,96.0421,PASS,2025-08-11
241,47,7,25C/60RH,1,94.7927,PASS,2024-09-27
242,289,9,2-8C,3,91.5921,PASS,2024-01-07
243,278,43,40C/75RH,6,114.2523,PASS,2026-03-31
244,148,34,2-8C,1,111.4292,PASS,2025-01-27
245,183,27,25C/60RH,18,98.4939,PASS,2024-11-25
246,127,2,25C/60RH,18,97.9829,PASS,2024-11-29
247,147,38,2-8C,6,87.8041,PASS,2025-01-05
248,171,44,40C/75RH,24,93.0648,PASS,2024-06-29
249,219,33,40C/75RH,12,103.1115,PASS,2025-06-01
250,167,6,25C/60RH,0,88.3823,PASS,2025-04-11
251,286,26,40C/75RH,1,99.6746,PASS,2024-10-17
252,98,31,30C/65RH,1,106.0657,OOS,2024-05-25
253,246,33,30C/65RH,0,102.074,OOS,2025-02-17
254,235,26,25C/60RH,24,98.316,PASS,2025-03-14
255,285,27,40C/75RH,24,97.3221,PASS,2026-02-25
256,198,24,40C/75RH,9,106.9631,PASS,2024-09-30
257,95,19,25C/60RH,6,90.494,PASS,2024-05-21
258,289,11,25C/60RH,6,93.0497,PASS,2024-12-10
259,75,31,30C/65RH,0,87.4727,PASS,2025-06-11
260,110,20,2-8C,3,96.205,PASS,2024-11-09
261,158,25,30C/65RH,18,94.8098,PASS,2024-04-17
262,42,21,25C/60RH,24,106.3366,PASS,2025-02-05
263,134,33,2-8C,0,109.2896,OOT,2024-09-06
264,264,21,30C/65RH,1,90.8473,PASS,2026-02-25
265,188,10,25C/60RH,0,95.4211,PASS,2024-08-31
266,185,45,40C/75RH,12,93.773,PASS,2025-02-02
267,161,20,25C/60RH,24,103.968,PASS,2024-04-25
268,220,23,30C/65RH,1,85.9015,PASS,2026-04-27
269,217,2,25C/60RH,24,105.4449,PASS,2025-05-02
270,2,12,2-8C,6,101.3475,PASS,2026-01-26
271,297,31,30C/65RH,6,90.3196,PASS,2024-06-26
272,200,15,40C/75RH,18,100.1897,PASS,2026-03-20
273,246,22,30C/65RH,18,105.5614,PASS,2025-11-24
274,111,9,25C/60RH,18,98.4124,PASS,2026-03-23
275,169,23,30C/65RH,18,102.7208,PASS,2024-09-26
276,164,11,30C/65RH,6,105.147,PASS,2024-12-25
277,254,14,25C/60RH,12,82.3227,PASS,2026-02-17
278,185,29,30C/65RH,36,93.7918,PASS,2024-06-27
279,117,32,25C/60RH,0,88.6266,PASS,2024-05-15
280,142,19,25C/60RH,36,111.2094,PASS,2026-04-09
281,152,34,40C/75RH,36,94.2838,PASS,2024-04-02
282,267,5,2-8C,0,116.9676,PASS,2024-04-30
283,298,15,25C/60RH,6,96.6813,PASS,2025-10-19
284,12,7,40C/75RH,12,101.1597,OOT,2026-02-16
285,229,23,25C/60RH,12,93.5632,PASS,2025-04-08
286,81,44,2-8C,18,101.7389,OOT,2024-08-19
287,140,28,2-8C,12,97.4759,PASS,2025-07-16
288,133,40,30C/65RH,12,100.4678,PASS,2024-05-16
289,133,15,40C/75RH,36,105.0291,PASS,2025-03-25
290,222,25,30C/65RH,6,96.3474,PASS,2025-12-08
291,85,26,25C/60RH,6,96.6355,PASS,2024-05-12
292,8,20,2-8C,3,104.2536,PASS,2026-03-10
293,75,28,30C/65RH,0,103.3515,OOS,2026-02-14
294,254,36,25C/60RH,18,95.8268,OOT,2024-07-23
295,164,38,2-8C,6,99.9773,PASS,2025-07-09
296,82,13,40C/75RH,18,87.2481,PASS,2024-09-16
297,75,43,25C/60RH,0,92.6875,PASS,2025-06-25
298,292,10,30C/65RH,1,96.1473,PASS,2026-04-25
299,289,27,2-8C,6,92.9148,PASS,2025-09-01
300,266,21,2-8C,1,100.6378,PASS,2024-02-23
301,169,6,30C/65RH,1,102.2561,PASS,2025-04-14
302,273,16,2-8C,9,96.8863,OOT,2025-06-15
303,68,22,2-8C,1,83.5205,PASS,2024-04-21
304,289,16,2-8C,3,105.6613,PASS,2024-03-07
305,223,3,25C/60RH,0,95.3112,PASS,2024-05-28
306,144,43,2-8C,6,103.282,PASS,2026-01-08
307,294,11,30C/65RH,0,96.0775,PASS,2024-06-15
308,58,5,40C/75RH,1,97.6445,PASS,2025-06-26
309,210,11,25C/60RH,6,88.7893,PASS,2025-08-13
310,106,5,2-8C,9,101.6317,OOS,2024-01-17
311,172,20,2-8C,9,106.6433,PASS,2024-12-14
312,102,37,40C/75RH,24,95.6761,PASS,2024-09-12
313,126,20,30C/65RH,36,95.5579,PASS,2025-07-02
314,53,25,2-8C,6,89.0321,PASS,2024-01-06
315,190,45,25C/60RH,36,107.9688,PASS,2024-11-21
316,281,1,30C/65RH,36,94.2318,OOS,2025-08-01
317,194,24,30C/65RH,18,99.7549,PASS,2024-06-13
318,145,45,2-8C,3,96.967,PASS,2026-02-08
319,154,44,30C/65RH,12,94.2414,PASS,2025-06-03
320,135,24,30C/65RH,6,103.374,PASS,2026-03-27
321,290,20,2-8C,24,91.4668,PASS,2024-06-06
322,193,12,40C/75RH,6,102.0112,PASS,2025-01-04
323,261,18,2-8C,12,106.5751,PASS,2024-09-27
324,33,45,30C/65RH,3,91.3163,PASS,2025-04-30
325,44,30,40C/75RH,9,101.5679,PASS,2024-03-24
326,272,26,30C/65RH,12,96.7887,PASS,2024-08-05
327,10,15,30C/65RH,24,99.3184,PASS,2024-07-24
328,63,42,30C/65RH,18,99.1045,PASS,2025-12-03
329,253,26,40C/75RH,36,113.6187,PASS,2024-11-10
330,58,44,25C/60RH,3,90.1799,PASS,2024-09-26
331,259,13,30C/65RH,18,93.9231,PASS,2025-04-21
332,130,19,25C/60RH,18,85.1683,PASS,2024-07-15
333,182,20,2-8C,12,94.8886,PASS,2025-11-17
334,141,22,2-8C,1,100.5801,PASS,2026-01-03
335,129,35,2-8C,18,99.0955,PASS,2024-06-13
336,175,38,2-8C,12,89.9209,PASS,2025-01-11
337,33,16,30C/65RH,0,117.0572,PASS,2026-04-07
338,277,1,25C/60RH,0,105.632,PASS,2025-07-30
339,104,16,30C/65RH,1,102.4592,PASS,2024-04-24
340,32,25,30C/65RH,36,99.2234,PASS,2024-11-21
341,168,31,2-8C,6,94.7928,PASS,2025-12-18
342,286,43,40C/75RH,1,89.8917,PASS,2024-06-14
343,214,12,25C/60RH,36,95.7129,PASS,2026-02-16
344,127,24,25C/60RH,1,99.1791,PASS,2026-02-06
345,26,36,2-8C,0,84.0943,PASS,2025-05-20
346,163,28,25C/60RH,18,90.7904,PASS,2025-02-11
347,184,36,40C/75RH,36,93.416,PASS,2024-05-03
348,155,42,25C/60RH,12,101.5854,OOT,2025-12-21
349,59,29,2-8C,9,99.0184,PASS,2025-02-16
350,130,14,40C/75RH,9,95.2144,PASS,2024-02-28
351,131,22,40C/75RH,24,118.9793,OOT,2024-12-14
352,43,13,40C/75RH,12,92.2443,OOT,2024-07-11
353,39,45,2-8C,36,95.9546,PASS,2025-04-04
354,161,20,25C/60RH,24,92.5772,PASS,2024-08-14
355,264,25,25C/60RH,6,95.6445,PASS,2025-10-02
356,42,2,2-8C,3,92.9256,PASS,2024-09-29
357,271,9,2-8C,6,100.9003,PASS,2026-02-08
358,184,8,40C/75RH,24,86.8781,PASS,2024-01-24
359,72,41,25C/60RH,3,93.5362,PASS,2024-08-29
360,177,38,30C/65RH,24,90.4054,OOT,2024-11-29
361,100,9,40C/75RH,0,103.3719,PASS,2025-01-28
362,79,4,2-8C,12,90.8119,PASS,2024-04-29
363,155,10,25C/60RH,6,101.4743,PASS,2024-01-23
364,84,39,40C/75RH,3,101.7351,PASS,2024-05-22
365,29,40,25C/60RH,0,93.1802,PASS,2026-02-27
366,72,42,40C/75RH,1,91.085,PASS,2024-01-24
367,183,13,25C/60RH,12,102.1382,PASS,2024-09-02
368,140,34,25C/60RH,6,79.8375,PASS,2024-11-29
369,106,15,40C/75RH,0,108.455,PASS,2025-12-31
370,212,7,2-8C,1,100.6879,PASS,2024-08-24
371,199,12,25C/60RH,12,88.9927,PASS,2025-12-20
372,168,35,2-8C,1,99.735,PASS,2026-03-17
373,41,12,25C/60RH,36,98.3581,PASS,2025-08-11
374,120,10,30C/65RH,24,86.2122,PASS,2025-07-04
375,180,18,25C/60RH,3,98.4963,PASS,2025-01-18
376,271,33,25C/60RH,18,101.4543,PASS,2026-02-17
377,282,16,30C/65RH,24,96.3529,PASS,2026-04-14
378,81,16,30C/65RH,36,90.2928,PASS,2026-03-29
379,10,36,40C/75RH,6,97.4005,PASS,2025-02-08
380,162,29,25C/60RH,9,106.1025,PASS,2025-06-17
381,291,20,30C/65RH,1,107.1697,PASS,2024-09-17
382,8,40,30C/65RH,18,93.9268,OOT,2024-11-13
383,239,43,30C/65RH,18,110.1258,PASS,2026-01-03
384,172,15,25C/60RH,24,82.102,PASS,2025-05-11
385,104,2,2-8C,6,87.6358,PASS,2025-04-22
386,258,44,2-8C,3,83.6095,PASS,2025-09-03
387,234,25,40C/75RH,24,94.7496,PASS,2025-10-10
388,68,14,40C/75RH,12,95.3409,PASS,2024-10-22
389,186,34,25C/60RH,18,90.4293,PASS,2025-04-13
390,14,17,25C/60RH,3,110.747,PASS,2025-05-06
391,35,19,2-8C,1,85.9916,PASS,2025-06-27
392,202,2,30C/65RH,36,97.477,PASS,2024-11-22
393,118,22,40C/75RH,3,105.2489,PASS,2025-12-18
394,225,18,30C/65RH,1,98.2632,PASS,2024-05-02
395,184,10,40C/75RH,18,99.5971,PASS,2026-02-11
396,225,2,2-8C,18,101.8546,PASS,2026-01-18
397,141,34,25C/60RH,12,96.9511,PASS,2025-07-05
398,199,27,30C/65RH,1,106.7445,PASS,2025-01-04
399,8,28,25C/60RH,9,101.2137,PASS,2025-04-15
400,258,14,2-8C,9,105.7324,PASS,2024-10-14
401,174,29,2-8C,6,102.3471,PASS,2025-06-06
402,58,29,2-8C,36,85.9226,PASS,2024-03-23
403,213,33,40C/75RH,0,93.6909,PASS,2025-10-24
404,266,8,40C/75RH,9,101.2286,OOS,2024-04-02
405,201,23,30C/65RH,6,98.4364,PASS,2024-05-15
406,155,31,25C/60RH,6,89.7689,PASS,2025-10-19
407,207,35,40C/75RH,18,95.4217,PASS,2025-05-03
408,124,23,25C/60RH,24,98.2806,PASS,2025-05-14
409,223,45,25C/60RH,0,87.7855,PASS,2024-07-20
410,45,21,25C/60RH,12,82.1354,PASS,2025-01-06
411,193,11,2-8C,24,92.4286,PASS,2024-12-09
412,267,7,40C/75RH,36,96.6416,PASS,2025-12-08
413,261,4,30C/65RH,9,97.3511,PASS,2025-12-22
414,280,18,25C/60RH,24,90.3749,PASS,2025-03-01
415,53,45,40C/75RH,12,106.8916,PASS,2024-03-30
416,212,39,2-8C,24,96.5757,PASS,2026-04-28
417,271,29,2-8C,18,87.3948,PASS,2024-06-20
418,284,6,2-8C,0,98.691,PASS,2024-01-13
419,201,39,25C/60RH,9,103.1634,PASS,2024-03-13
420,130,4,25C/60RH,3,103.9846,PASS,2025-11-19
421,289,39,25C/60RH,0,96.6218,PASS,2026-04-18
422,270,28,25C/60RH,6,95.6913,PASS,2025-10-07
423,37,30,30C/65RH,1,103.8199,PASS,2025-02-24
424,234,19,2-8C,3,97.3938,PASS,2024-11-21
425,258,31,40C/75RH,0,90.8764,PASS,2026-01-19
426,239,38,30C/65RH,12,95.2152,PASS,2025-11-29
427,272,41,2-8C,0,97.8752,OOT,2026-03-09
428,147,18,30C/65RH,24,86.2867,PASS,2024-02-10
429,152,36,25C/60RH,3,86.5208,OOT,2024-05-30
430,92,45,2-8C,24,102.9276,PASS,2025-03-06
431,240,36,25C/60RH,6,102.2055,PASS,2026-04-25
432,255,35,2-8C,9,101.4598,PASS,2024-08-16
433,60,4,30C/65RH,9,104.361,PASS,2024-07-28
434,90,24,40C/75RH,1,95.2496,PASS,2025-12-08
435,216,45,2-8C,3,99.3922,PASS,2024-05-13
436,221,14,30C/65RH,24,79.1085,PASS,2025-06-20
437,194,3,30C/65RH,6,90.9288,OOT,2026-02-11
438,211,3,30C/65RH,3,104.885,PASS,2025-01-05
439,129,7,2-8C,12,94.2429,PASS,2024-10-08
440,94,3,25C/60RH,24,87.9374,PASS,2024-07-10
441,90,13,2-8C,24,106.2599,PASS,2025-02-10
442,130,16,40C/75RH,3,98.7881,PASS,2025-01-21
443,138,15,25C/60RH,18,86.7898,PASS,2025-03-09
444,135,39,30C/65RH,24,97.4439,PASS,2025-10-28
445,240,36,2-8C,6,104.324,PASS,2024-11-17
446,78,5,40C/75RH,3,93.2516,PASS,2025-12-12
447,279,8,40C/75RH,1,88.6786,OOS,2026-01-12
448,279,1,25C/60RH,24,89.9493,PASS,2025-07-10
449,250,22,2-8C,36,103.2593,PASS,2025-08-13
450,258,5,2-8C,9,108.4116,OOT,2026-03-03
451,280,23,40C/75RH,0,97.2829,PASS,2024-04-30
452,40,15,40C/75RH,36,99.2329,PASS,2024-06-15
453,107,38,40C/75RH,0,109.8574,PASS,2024-01-22
454,297,40,30C/65RH,24,109.1875,PASS,2025-03-21
455,186,8,40C/75RH,24,101.8297,PASS,2024-11-03
456,232,22,30C/65RH,0,98.4253,PASS,2024-09-21
457,222,20,25C/60RH,18,101.4891,PASS,2026-03-23
458,145,23,2-8C,36,111.2564,PASS,2025-04-14
