capa_id,investigation_id,capa_number,action_type,owner_function,due_date,status,effectiveness
35,4044,CAPA-000035,Corrective and Preventive,MSAT,2026-04-13,Open,Effective
36,3367,CAPA-000036,Corrective,Supplier Quality,2026-01-31,Monitoring,Monitoring
37,1869,CAPA-000037,Corrective,Laboratory,2025-09-12,Closed,Effective
38,6878,CAPA-000038,Preventive,Supplier Quality,2024-08-09,Open,Effective
39,1708,CAPA-000039,Corrective,Laboratory,2025-07-19,Closed,Effective
40,6889,CAPA-000040,Corrective,Quality,2026-06-19,Monitoring,Effective
41,10183,CAPA-000041,Preventive,Manufacturing,2024-07-11,Closed,Not Assessed
42,5939,CAPA-000042,Preventive,Laboratory,2025-03-09,Closed,Effective
43,8695,CAPA-000043,Corrective,Supplier Quality,2026-07-14,Closed,Effective
44,776,CAPA-000044,Preventive,Manufacturing,2025-09-08,Closed,Effective
45,10555,CAPA-000045,Preventive,Laboratory,2024-07-06,Open,Effective
46,1147,CAPA-000046,Preventive,MSAT,2025-12-22,Open,Monitoring
47,7315,CAPA-000047,Corrective,MSAT,2024-10-11,Closed,Effective
48,2914,CAPA-000048,Preventive,MSAT,2025-11-16,Open,Effective
49,11242,CAPA-000049,Corrective and Preventive,Manufacturing,2026-06-25,Closed,Not Assessed
50,3768,CAPA-000050,Preventive,Manufacturing,2026-09-28,Closed,Monitoring
51,9707,CAPA-000051,Corrective,MSAT,2025-05-29,Closed,Effective
52,8403,CAPA-000052,Corrective and Preventive,Manufacturing,2025-02-03,Monitoring,Effective
53,3572,CAPA-000053,Corrective,Supplier Quality,2026-06-22,Closed,Effective
54,7222,CAPA-000054,Preventive,MSAT,2025-05-28,Closed,Not Assessed
55,1500,CAPA-000055,Preventive,Supplier Quality,2026-06-25,Closed,Effective
56,1338,CAPA-000056,Corrective,Laboratory,2026-05-12,Closed,Ineffective
57,8943,CAPA-000057,Preventive,MSAT,2024-06-03,Closed,Monitoring
58,10014,CAPA-000058,Preventive,Quality,2026-06-15,Closed,Effective
59,7591,CAPA-000059,Preventive,Manufacturing,2026-08-15,Monitoring,Monitoring
60,383,CAPA-000060,Corrective,MSAT,2025-10-05,Closed,Ineffective
61,11784,CAPA-000061,Corrective,Quality,2024-08-03,Monitoring,Effective
62,11222,CAPA-000062,Corrective and Preventive,Laboratory,2024-12-27,Monitoring,Effective
63,2322,CAPA-000063,Corrective and Preventive,Laboratory,2024-06-08,Closed,Monitoring
64,9652,CAPA-000064,Preventive,MSAT,2025-08-17,Closed,Monitoring
65,6412,CAPA-000065,Preventive,Quality,2026-08-11,Closed,Effective
66,2689,CAPA-000066,Preventive,Laboratory,2025-04-01,Monitoring,Effective
67,6447,CAPA-000067,Corrective,Quality,2024-07-03,Closed,Not Assessed
68,10340,CAPA-000068,Corrective,Laboratory,2026-01-26,Open,Effective
69,1978,CAPA-000069,Corrective and Preventive,Laboratory,2025-03-25,Closed,Not Assessed
70,10237,CAPA-000070,Corrective and Preventive,Supplier Quality,2026-05-14,Monitoring,Ineffective
71,10879,CAPA-000071,Preventive,Supplier Quality,2024-10-28,Closed,Effective
72,9894,CAPA-000072,Corrective and Preventive,MSAT,2024-09-19,Closed,Effective
73,3445,CAPA-000073,Corrective,MSAT,2026-06-15,Closed,Effective
74,2643,CAPA-000074,Preventive,Supplier Quality,2026-10-27,Closed,Effective
75,10794,CAPA-000075,Corrective,Supplier Quality,2024-07-12,Closed,Effective
76,8372,CAPA-000076,Preventive,Laboratory,2026-02-25,Closed,Monitoring
77,10515,CAPA-000077,Preventive,Manufacturing,2026-02-06,Closed,Effective
78,6175,CAPA-000078,Corrective,Manufacturing,2024-08-01,Closed,Monitoring
79,1148,CAPA-000079,Corrective,MSAT,2025-01-19,Monitoring,Ineffective
80,869,CAPA-000080,Corrective and Preventive,Quality,2026-04-08,Closed,Monitoring
81,3588,CAPA-000081,Preventive,Laboratory,2026-11-08,Monitoring,Monitoring
82,10386,CAPA-000082,Preventive,MSAT,2026-01-27,Closed,Monitoring
83,291,CAPA-000083,Corrective and Preventive,Supplier Quality,2025-06-11,Closed,Effective
84,5510,CAPA-000084,Corrective and Preventive,Supplier Quality,2024-10-18,Open,Effective
85,2159,CAPA-000085,Preventive,Quality,2024-12-24,Closed,Effective
86,4351,CAPA-000086,Preventive,Laboratory,2026-04-22,Open,Effective
87,6766,CAPA-000087,Preventive,Supplier Quality,2024-08-27,Closed,Monitoring
88,3117,CAPA-000088,Corrective,MSAT,2026-02-19,Monitoring,Ineffective
89,8846,CAPA-000089,Preventive,Supplier Quality,2024-07-07,Monitoring,Effective
90,11638,CAPA-000090,Preventive,MSAT,2025-03-14,Open,Ineffective
91,7261,CAPA-000091,Corrective and Preventive,Laboratory,2024-08-02,Closed,Not Assessed
92,7496,CAPA-000092,Corrective and Preventive,Supplier Quality,2025-04-01,Closed,Monitoring
93,6631,CAPA-000093,Preventive,Quality,2026-06-19,Closed,Effective
94,9282,CAPA-000094,Corrective,Supplier Quality,2025-07-27,Open,Effective
95,2963,CAPA-000095,Corrective,Supplier Quality,2025-10-20,Open,Effective
96,7265,CAPA-000096,Preventive,MSAT,2026-05-15,Monitoring,Effective
97,881,CAPA-000097,Preventive,Quality,2025-04-23,Monitoring,Effective
98,421,CAPA-000098,Preventive,Manufacturing,2026-08-22,Closed,Effective
99,1871,CAPA-000099,Corrective,Supplier Quality,2026-10-24,Closed,Ineffective
100,6332,CAPA-000100,Corrective and Preventive,MSAT,2026-08-13,Closed,Effective
101,5631,CAPA-000101,Preventive,Quality,2026-01-16,Closed,Ineffective
102,460,CAPA-000102,Corrective and Preventive,Quality,2026-06-25,Closed,Not Assessed
103,10634,CAPA-000103,Corrective and Preventive,Laboratory,2024-06-18,Open,Effective
104,5105,CAPA-000104,Preventive,Laboratory,2024-09-09,Closed,Effective
105,2583,CAPA-000105,Preventive,Quality,2025-12-15,Closed,Not Assessed
106,11702,CAPA-000106,Preventive,Supplier Quality,2024-06-12,Open,Effective
107,8766,CAPA-000107,Corrective,Quality,2026-07-02,Closed,Effective
108,7176,CAPA-000108,Corrective and Preventive,Quality,2026-02-09,Monitoring,Effective
109,5597,CAPA-000109,Corrective,Laboratory,2026-02-05,Closed,Effective
110,11448,CAPA-000110,Corrective and Preventive,Laboratory,2026-07-15,Open,Ineffective
111,5381,CAPA-000111,Corrective and Preventive,Manufacturing,2026-01-12,Open,Effective
112,1623,CAPA-000112,Corrective and Preventive,Laboratory,2026-08-12,Closed,Not Assessed
113,3935,CAPA-000113,Preventive,Supplier Quality,2024-09-04,Monitoring,Effective
114,4180,CAPA-000114,Corrective,Supplier Quality,2024-08-25,Monitoring,Effective
115,25,CAPA-000115,Corrective and Preventive,Quality,2026-10-08,Closed,Effective
116,3426,CAPA-000116,Preventive,Quality,2025-03-08,Closed,Effective
117,7823,CAPA-000117,Corrective and Preventive,Quality,2026-07-02,Closed,Effective
118,1927,CAPA-000118,Corrective,MSAT,2026-07-26,Open,Effective
119,6970,CAPA-000119,Corrective and Preventive,Supplier Quality,2024-09-12,Closed,Ineffective
120,929,CAPA-000120,Preventive,Manufacturing,2024-06-26,Closed,Effective
121,102,CAPA-000121,Corrective,Manufacturing,2024-07-13,Closed,Monitoring
122,2256,CAPA-000122,Corrective and Preventive,Supplier Quality,2026-04-20,Open,Effective
123,5472,CAPA-000123,Corrective,MSAT,2026-03-03,Closed,Effective
124,1083,CAPA-000124,Corrective and Preventive,MSAT,2025-11-02,Monitoring,Effective
125,1843,CAPA-000125,Preventive,Quality,2026-02-07,Closed,Effective
126,1876,CAPA-000126,Corrective,Manufacturing,2025-08-23,Closed,Effective
127,1980,CAPA-000127,Preventive,MSAT,2024-08-14,Monitoring,Effective
128,6482,CAPA-000128,Preventive,Manufacturing,2026-08-03,Monitoring,Effective
129,4056,CAPA-000129,Corrective and Preventive,Laboratory,2025-01-26,Closed,Ineffective
130,3707,CAPA-000130,Preventive,Quality,2024-12-06,Closed,Not Assessed
131,2604,CAPA-000131,Preventive,MSAT,2026-02-23,Monitoring,Effective
132,10780,CAPA-000132,Corrective and Preventive,Laboratory,2026-02-09,Closed,Monitoring
133,8063,CAPA-000133,Corrective,Manufacturing,2025-12-10,Closed,Effective
134,8876,CAPA-000134,Preventive,MSAT,2026-05-04,Closed,Ineffective
135,9485,CAPA-000135,Corrective and Preventive,Laboratory,2025-10-21,Closed,Effective
136,10986,CAPA-000136,Preventive,Supplier Quality,2024-10-03,Monitoring,Effective
137,10347,CAPA-000137,Corrective and Preventive,Laboratory,2026-07-28,Closed,Effective
138,11661,CAPA-000138,Preventive,Supplier Quality,2025-11-15,Closed,Effective
139,9004,CAPA-000139,Corrective and Preventive,MSAT,2025-12-04,Open,Ineffective
140,7273,CAPA-000140,Corrective and Preventive,Quality,2025-05-30,Closed,Monitoring
141,10252,CAPA-000141,Preventive,MSAT,2025-11-24,Closed,Monitoring
142,2157,CAPA-000142,Corrective and Preventive,Quality,2026-02-26,Closed,Effective
143,3888,CAPA-000143,Preventive,Quality,2025-09-13,Closed,Effective
144,8506,CAPA-000144,Corrective,Laboratory,2025-10-17,Closed,Monitoring
145,9433,CAPA-000145,Corrective and Preventive,Supplier Quality,2025-08-03,Closed,Effective
146,11009,CAPA-000146,Preventive,Supplier Quality,2025-01-23,Closed,Effective
147,6792,CAPA-000147,Corrective and Preventive,Supplier Quality,2024-07-26,Closed,Effective
148,10228,CAPA-000148,Corrective,MSAT,2025-08-09,Closed,Monitoring
149,584,CAPA-000149,Corrective,Laboratory,2026-01-12,Open,Effective
150,8086,CAPA-000150,Preventive,Manufacturing,2026-05-16,Closed,Effective
151,8733,CAPA-000151,Corrective,Supplier Quality,2025-04-20,Closed,Ineffective
152,6382,CAPA-000152,Corrective and Preventive,Manufacturing,2025-10-17,Open,Ineffective
153,7147,CAPA-000153,Corrective,MSAT,2026-09-01,Monitoring,Effective
154,8812,CAPA-000154,Corrective and Preventive,MSAT,2026-10-01,Closed,Not Assessed
155,7794,CAPA-000155,Corrective and Preventive,MSAT,2024-10-05,Monitoring,Ineffective
156,2072,CAPA-000156,Corrective and Preventive,Manufacturing,2025-06-29,Closed,Effective
157,5595,CAPA-000157,Preventive,Laboratory,2024-11-09,Closed,Not Assessed
158,10562,CAPA-000158,Corrective and Preventive,Supplier Quality,2025-07-18,Closed,Effective
159,2858,CAPA-000159,Corrective,Manufacturing,2026-06-17,Open,Monitoring
160,129,CAPA-000160,Corrective,Manufacturing,2025-12-29,Closed,Monitoring
161,3592,CAPA-000161,Corrective,MSAT,2026-03-14,Closed,Effective
162,9002,CAPA-000162,Corrective,MSAT,2024-09-20,Closed,Effective
163,6740,CAPA-000163,Corrective and Preventive,Laboratory,2025-10-30,Closed,Monitoring
164,5428,CAPA-000164,Preventive,Quality,2025-12-26,Closed,Effective
165,1452,CAPA-000165,Corrective and Preventive,Quality,2025-09-05,Closed,Ineffective
166,226,CAPA-000166,Preventive,Manufacturing,2024-10-12,Closed,Monitoring
167,923,CAPA-000167,Corrective,Supplier Quality,2025-09-06,Closed,Ineffective
168,4363,CAPA-000168,Preventive,Supplier Quality,2025-02-07,Closed,Effective
169,55,CAPA-000169,Corrective,Quality,2026-01-08,Closed,Ineffective
170,11148,CAPA-000170,Preventive,Manufacturing,2025-05-07,Closed,Monitoring
171,5440,CAPA-000171,Corrective,MSAT,2025-08-21,Closed,Effective
172,2799,CAPA-000172,Preventive,Quality,2026-09-03,Closed,Effective
173,6715,CAPA-000173,Corrective and Preventive,Laboratory,2026-08-31,Closed,Effective
174,3560,CAPA-000174,Corrective,Manufacturing,2024-09-29,Closed,Monitoring
175,10285,CAPA-000175,Corrective and Preventive,Supplier Quality,2024-06-22,Open,Effective
176,6657,CAPA-000176,Corrective,Manufacturing,2025-11-27,Monitoring,Effective
177,5386,CAPA-000177,Corrective,Supplier Quality,2024-09-21,Closed,Effective
178,2594,CAPA-000178,Preventive,Quality,2024-12-26,Closed,Ineffective
179,1217,CAPA-000179,Corrective,Laboratory,2026-10-16,Monitoring,Effective
180,3262,CAPA-000180,Preventive,Supplier Quality,2024-08-07,Open,Monitoring
181,7513,CAPA-000181,Corrective,Laboratory,2026-05-31,Monitoring,Not Assessed
182,4975,CAPA-000182,Corrective and Preventive,Laboratory,2026-06-01,Closed,Monitoring
183,2022,CAPA-000183,Corrective,Quality,2024-06-01,Open,Monitoring
184,668,CAPA-000184,Preventive,Laboratory,2024-08-13,Closed,Effective
185,3935,CAPA-000185,Corrective and Preventive,Manufacturing,2026-07-16,Closed,Effective
186,4632,CAPA-000186,Corrective,MSAT,2026-06-03,Closed,Monitoring
187,6325,CAPA-000187,Corrective and Preventive,Laboratory,2026-07-09,Closed,Ineffective
188,11033,CAPA-000188,Corrective and Preventive,Laboratory,2026-05-07,Closed,Effective
189,503,CAPA-000189,Corrective and Preventive,Supplier Quality,2026-01-11,Closed,Effective
190,5233,CAPA-000190,Corrective and Preventive,Quality,2024-06-08,Open,Effective
191,10439,CAPA-000191,Corrective,MSAT,2025-03-11,Closed,Ineffective
192,3622,CAPA-000192,Preventive,Manufacturing,2024-06-23,Open,Not Assessed
193,10487,CAPA-000193,Preventive,Supplier Quality,2026-08-24,Monitoring,Not Assessed
194,854,CAPA-000194,Preventive,Quality,2026-09-10,Closed,Not Assessed
195,11039,CAPA-000195,Preventive,Laboratory,2026-04-30,Closed,Effective
196,1593,CAPA-000196,Preventive,Quality,2025-05-25,Closed,Effective
197,4579,CAPA-000197,Corrective,Manufacturing,2025-04-26,Monitoring,Monitoring
198,7355,CAPA-000198,Preventive,MSAT,2025-05-08,Closed,Not Assessed
199,800,CAPA-000199,Corrective,Quality,2026-04-25,Monitoring,Not Assessed
200,10172,CAPA-000200,Corrective,Laboratory,2024-11-10,Closed,Ineffective
201,933,CAPA-000201,Corrective and Preventive,MSAT,2026-10-09,Closed,Effective
202,9000,CAPA-000202,Corrective,Laboratory,2025-03-29,Closed,Effective
203,3701,CAPA-000203,Preventive,Laboratory,2026-07-11,Closed,Monitoring
204,3873,CAPA-000204,Preventive,Quality,2026-02-14,Closed,Effective
205,6853,CAPA-000205,Corrective,Manufacturing,2025-08-03,Closed,Monitoring
206,8733,CAPA-000206,Corrective and Preventive,Laboratory,2026-05-23,Monitoring,Effective
207,11158,CAPA-000207,Corrective and Preventive,Quality,2026-06-07,Open,Effective
208,11013,CAPA-000208,Corrective and Preventive,Quality,2025-06-12,Monitoring,Effective
209,2617,CAPA-000209,Corrective,Laboratory,2024-09-03,Closed,Ineffective
210,1107,CAPA-000210,Corrective and Preventive,Laboratory,2026-01-20,Closed,Effective
211,7910,CAPA-000211,Corrective and Preventive,Quality,2025-12-09,Open,Monitoring
212,1786,CAPA-000212,Corrective,Laboratory,2025-05-03,Closed,Effective
213,10711,CAPA-000213,Preventive,Manufacturing,2025-10-28,Closed,Effective
214,48,CAPA-000214,Corrective and Preventive,Laboratory,2025-05-10,Closed,Monitoring
215,6647,CAPA-000215,Corrective and Preventive,Supplier Quality,2024-10-06,Closed,Ineffective
216,4654,CAPA-000216,Corrective,Laboratory,2025-11-24,Open,Ineffective
217,10571,CAPA-000217,Corrective and Preventive,Laboratory,2024-09-29,Monitoring,Not Assessed
218,10269,CAPA-000218,Corrective and Preventive,Supplier Quality,2025-12-25,Closed,Effective
219,9583,CAPA-000219,Corrective,Laboratory,2024-07-29,Closed,Monitoring
220,2959,CAPA-000220,Corrective and Preventive,MSAT,2025-04-12,Closed,Effective
221,8644,CAPA-000221,Corrective,Laboratory,2025-04-05,Closed,Not Assessed
222,7821,CAPA-000222,Corrective and Preventive,Supplier Quality,2026-05-23,Open,Effective
223,10149,CAPA-000223,Preventive,Laboratory,2024-11-18,Open,Effective
224,5308,CAPA-000224,Corrective,Laboratory,2025-05-17,Open,Effective
225,8707,CAPA-000225,Corrective and Preventive,Supplier Quality,2026-04-30,Closed,Effective
226,10979,CAPA-000226,Corrective and Preventive,Manufacturing,2025-10-20,Closed,Not Assessed
227,3718,CAPA-000227,Preventive,Supplier Quality,2025-01-22,Closed,Not Assessed
228,4066,CAPA-000228,Preventive,Manufacturing,2026-05-06,Open,Monitoring
229,5082,CAPA-000229,Corrective and Preventive,Quality,2026-07-06,Open,Monitoring
230,6886,CAPA-000230,Corrective and Preventive,Supplier Quality,2024-08-31,Open,Monitoring
231,8729,CAPA-000231,Corrective,Manufacturing,2025-05-02,Closed,Effective
232,9166,CAPA-000232,Preventive,Supplier Quality,2025-06-19,Closed,Effective
233,8172,CAPA-000233,Corrective,Supplier Quality,2024-07-14,Closed,Monitoring
234,517,CAPA-000234,Preventive,Supplier Quality,2024-11-27,Closed,Effective
235,10089,CAPA-000235,Preventive,Supplier Quality,2026-09-05,Monitoring,Effective
236,8338,CAPA-000236,Corrective,Supplier Quality,2025-01-12,Closed,Monitoring
237,551,CAPA-000237,Preventive,Laboratory,2025-06-02,Closed,Not Assessed
238,6988,CAPA-000238,Corrective,Manufacturing,2024-07-07,Closed,Effective
239,2794,CAPA-000239,Corrective and Preventive,MSAT,2026-04-20,Monitoring,Monitoring
240,10216,CAPA-000240,Corrective,MSAT,2025-04-17,Open,Effective
241,7886,CAPA-000241,Corrective and Preventive,Manufacturing,2025-07-09,Monitoring,Monitoring
242,439,CAPA-000242,Corrective and Preventive,Manufacturing,2026-01-08,Closed,Effective
243,10491,CAPA-000243,Corrective,Quality,2026-01-17,Closed,Effective
244,1072,CAPA-000244,Corrective,Laboratory,2025-08-06,Open,Effective
245,10097,CAPA-000245,Corrective and Preventive,MSAT,2026-05-13,Closed,Not Assessed
246,5814,CAPA-000246,Corrective and Preventive,Manufacturing,2026-04-02,Closed,Effective
247,10396,CAPA-000247,Corrective,Quality,2025-09-06,Closed,Effective
248,8953,CAPA-000248,Corrective and Preventive,Laboratory,2026-09-19,Closed,Effective
249,1579,CAPA-000249,Corrective,MSAT,2026-10-10,Closed,Monitoring
250,2949,CAPA-000250,Corrective and Preventive,MSAT,2026-03-25,Monitoring,Effective
251,9340,CAPA-000251,Corrective,Supplier Quality,2024-11-07,Closed,Effective
252,6482,CAPA-000252,Preventive,Manufacturing,2026-02-02,Closed,Not Assessed
253,6449,CAPA-000253,Corrective and Preventive,MSAT,2024-07-15,Open,Effective
254,3988,CAPA-000254,Preventive,Laboratory,2026-07-15,Monitoring,Not Assessed
255,7348,CAPA-000255,Corrective,Quality,2025-10-03,Open,Effective
256,11822,CAPA-000256,Corrective,Laboratory,2025-04-30,Closed,Not Assessed
257,286,CAPA-000257,Corrective and Preventive,Manufacturing,2026-11-02,Monitoring,Effective
258,5405,CAPA-000258,Corrective and Preventive,MSAT,2024-11-09,Closed,Ineffective
259,10922,CAPA-000259,Corrective and Preventive,Supplier Quality,2025-07-20,Monitoring,Effective
260,3892,CAPA-000260,Corrective,MSAT,2026-04-14,Closed,Monitoring
261,7158,CAPA-000261,Corrective,Quality,2025-10-26,Closed,Effective
262,6872,CAPA-000262,Corrective,MSAT,2026-04-23,Closed,Effective
263,1328,CAPA-000263,Corrective,Manufacturing,2026-06-02,Closed,Monitoring
264,10302,CAPA-000264,Corrective,Quality,2025-07-04,Closed,Effective
265,9925,CAPA-000265,Corrective,Laboratory,2026-03-12,Open,Effective
266,1507,CAPA-000266,Corrective,Supplier Quality,2024-12-17,Monitoring,Monitoring
267,450,CAPA-000267,Corrective and Preventive,Supplier Quality,2026-07-13,Monitoring,Monitoring
268,8917,CAPA-000268,Corrective and Preventive,Manufacturing,2025-11-26,Closed,Effective
269,3406,CAPA-000269,Preventive,Manufacturing,2024-07-08,Closed,Effective
270,2537,CAPA-000270,Corrective and Preventive,MSAT,2024-06-10,Closed,Effective
271,11277,CAPA-000271,Corrective,Quality,2024-08-11,Closed,Effective
272,2464,CAPA-000272,Corrective and Preventive,Laboratory,2026-04-01,Closed,Effective
273,11247,CAPA-000273,Corrective and Preventive,Quality,2025-07-30,Monitoring,Effective
274,7120,CAPA-000274,Preventive,Laboratory,2024-10-09,Closed,Ineffective
275,2890,CAPA-000275,Corrective and Preventive,MSAT,2024-11-16,Open,Effective
276,11443,CAPA-000276,Corrective and Preventive,Manufacturing,2024-11-28,Closed,Not Assessed
277,3091,CAPA-000277,Preventive,Supplier Quality,2025-06-18,Open,Monitoring
278,3493,CAPA-000278,Preventive,Quality,2026-04-30,Monitoring,Effective
279,3558,CAPA-000279,Corrective and Preventive,Laboratory,2025-09-12,Open,Monitoring
280,6460,CAPA-000280,Corrective,Laboratory,2024-10-28,Closed,Monitoring
281,5690,CAPA-000281,Corrective,MSAT,2026-02-09,Closed,Effective
282,493,CAPA-000282,Preventive,Manufacturing,2024-08-06,Monitoring,Not Assessed
283,4592,CAPA-000283,Corrective,Supplier Quality,2025-07-10,Monitoring,Not Assessed
284,11259,CAPA-000284,Preventive,Laboratory,2025-03-07,Closed,Monitoring
285,9352,CAPA-000285,Preventive,Quality,2025-01-15,Closed,Monitoring
286,9108,CAPA-000286,Corrective,Quality,2024-12-10,Closed,Not Assessed
287,9016,CAPA-000287,Corrective,Supplier Quality,2026-03-26,Monitoring,Not Assessed
288,3779,CAPA-000288,Corrective,MSAT,2025-03-09,Closed,Effective
289,218,CAPA-000289,Preventive,Laboratory,2026-03-25,Monitoring,Effective
290,6412,CAPA-000290,Corrective,MSAT,2025-12-04,Closed,Monitoring
291,10545,CAPA-000291,Preventive,Quality,2024-06-03,Closed,Effective
292,4973,CAPA-000292,Preventive,MSAT,2026-06-11,Closed,Effective
293,11989,CAPA-000293,Preventive,Manufacturing,2025-11-02,Closed,Effective
294,3090,CAPA-000294,Preventive,Manufacturing,2025-12-15,Monitoring,Effective
295,6256,CAPA-000295,Corrective,Quality,2024-12-08,Closed,Not Assessed
296,10975,CAPA-000296,Preventive,MSAT,2025-02-20,Closed,Effective
297,4347,CAPA-000297,Corrective and Preventive,Quality,2024-12-08,Closed,Effective
298,2941,CAPA-000298,Corrective and Preventive,Laboratory,2025-08-21,Monitoring,Effective
299,1220,CAPA-000299,Corrective,Supplier Quality,2026-02-23,Closed,Not Assessed
300,4232,CAPA-000300,Corrective and Preventive,MSAT,2026-06-19,Closed,Effective
301,3871,CAPA-000301,Corrective and Preventive,Supplier Quality,2024-11-25,Open,Ineffective
302,1629,CAPA-000302,Corrective,Supplier Quality,2026-07-14,Closed,Effective
303,3161,CAPA-000303,Corrective and Preventive,Laboratory,2026-04-28,Closed,Effective
304,7834,CAPA-000304,Preventive,Supplier Quality,2025-03-22,Open,Effective
305,6353,CAPA-000305,Corrective and Preventive,MSAT,2025-02-03,Closed,Effective
306,7038,CAPA-000306,Preventive,Manufacturing,2026-06-11,Monitoring,Effective
307,544,CAPA-000307,Preventive,Laboratory,2026-03-11,Closed,Monitoring
308,1689,CAPA-000308,Corrective,Supplier Quality,2024-11-11,Closed,Effective
309,4328,CAPA-000309,Corrective,Laboratory,2024-11-14,Monitoring,Effective
310,3455,CAPA-000310,Preventive,Supplier Quality,2025-04-21,Monitoring,Effective
311,7925,CAPA-000311,Preventive,Manufacturing,2024-12-20,Closed,Effective
312,9397,CAPA-000312,Corrective,MSAT,2024-11-23,Closed,Ineffective
313,8053,CAPA-000313,Corrective,Laboratory,2025-07-01,Closed,Monitoring
314,5864,CAPA-000314,Preventive,Quality,2026-07-05,Monitoring,Ineffective
315,6574,CAPA-000315,Corrective,Manufacturing,2025-09-13,Closed,Effective
316,8792,CAPA-000316,Preventive,Manufacturing,2025-03-11,Monitoring,Monitoring
317,1245,CAPA-000317,Preventive,Manufacturing,2025-10-01,Closed,Monitoring
318,8360,CAPA-000318,Corrective and Preventive,Manufacturing,2024-07-20,Closed,Monitoring
319,2021,CAPA-000319,Corrective and Preventive,Supplier Quality,2025-04-24,Closed,Effective
320,922,CAPA-000320,Corrective,Laboratory,2026-10-15,Closed,Not Assessed
321,8192,CAPA-000321,Corrective and Preventive,Supplier Quality,2025-02-24,Closed,Effective
322,1740,CAPA-000322,Corrective and Preventive,MSAT,2026-06-14,Monitoring,Effective
323,10618,CAPA-000323,Preventive,Manufacturing,2025-08-11,Monitoring,Effective
324,1782,CAPA-000324,Corrective,Supplier Quality,2024-08-24,Open,Effective
325,4594,CAPA-000325,Corrective,Laboratory,2026-04-08,Monitoring,Monitoring
326,5433,CAPA-000326,Preventive,Laboratory,2024-08-25,Monitoring,Effective
327,4964,CAPA-000327,Preventive,Manufacturing,2024-11-06,Monitoring,Effective
328,932,CAPA-000328,Preventive,Manufacturing,2025-03-19,Closed,Monitoring
329,2511,CAPA-000329,Corrective,Manufacturing,2025-05-04,Monitoring,Effective
330,2319,CAPA-000330,Corrective and Preventive,MSAT,2024-12-25,Closed,Effective
331,7807,CAPA-000331,Corrective,MSAT,2026-02-06,Closed,Effective
332,5078,CAPA-000332,Corrective and Preventive,Manufacturing,2025-07-05,Open,Effective
333,3901,CAPA-000333,Preventive,Laboratory,2025-11-28,Closed,Effective
